N,S
Q6XQN6_PNCB,17.5,17.5
P13489_RINI,30,30
P30040_ERP29,50,50
P30626_SORCN,72.5,72.5
Q16775_GLO2,10,10
P00441_SODC,67.5,67.5
P31930_QCR1,32.5,32.5
Q08495_DEMA,15,15
P31949_S10AB,30,30
P00505_AATM,7.49999999999999,7.49999999999999
P10412_H14,32.5,32.5
P35611_ADDA,7.49999999999999,7.49999999999999
P09382_LEG1,30,30
P69891_HBG1,22.5,22.5
P17213_BPI,30,30
P07741_APT,90,90
P41218_MNDA,42.5,42.5
P01892_1A02,2.50000000000001,2.50000000000001
P47755_CAZA2,70,70
P13645_K1C10,20,20
P29144_TPP2,0,0
Q31610_1B81,7.49999999999999,7.49999999999999
P04839_CY24B,0,0
Q9NZD4_AHSP,22.5,22.5
P99999_CYC,35,35
P28066_PSA5,22.5,22.5
P14543_NID1,7.49999999999999,7.49999999999999
O14818_PSA7,17.5,17.5
P18669_PGAM1,45,45
P15153_RAC2,40,40
P10153_RNAS2,7.49999999999999,7.49999999999999
Q16851_UGPA,40,40
P08575_PTPRC,2.49999999999999,2.49999999999999
P02654_APOC1,15,15
P48426_PI42A,10,10
P54920_SNAA,5,5
P62942_FKB1A,7.49999999999999,7.49999999999999
P25786_PSA1,40,40
P53004_BIEA,27.5,27.5
P28072_PSB6,17.5,17.5
P55209_NP1L1,75,75
P58546_MTPN,82.5,82.5
Q00013_EM55,10,10
P20645_MPRD,10,10
Q9BSJ8_ESYT1,7.49999999999999,7.49999999999999
Q5TDH0_DDI2,22.5,22.5
P35612_ADDB,17.5,17.5
P54725_RD23A,7.49999999999999,7.49999999999999
P49411_EFTU,92.5,92.5
P09960_LKHA4,12.5,12.5
P18859_ATP5J,37.5,37.5
Q9NQC3_RTN4,45,45
Q9UNF0_PACN2,7.49999999999999,7.49999999999999
Q9UM07_PADI4,17.5,17.5
P22392_NDKB,45,45
P48507_GSH0,70,70
P37235_HPCL1,37.5,37.5
Q07021_C1QBP,55,55
Q9BR76_COR1B,62.5,62.5
P22314_UBA1,45,45
Q9Y251_HPSE,15,15
P21291_CSRP1,0,0
O43488_ARK72,42.5,42.5
P21796_VDAC1,15,15
P31150_GDIA,57.5,57.5
Q86YW5_TRML1,20,20
P01859_IGHG2,5,5
P61088_UBE2N,12.5,12.5
Q14974_IMB1,87.5,87.5
P28289_TMOD1,25,25
P49748_ACADV,17.5,17.5
Q96G03_PGM2,17.5,17.5
Q07960_RHG01,85,85
O00233_PSMD9,42.5,42.5
Q05682_CALD1,17.5,17.5
Q9H2L5_RASF4,5,5
P02008_HBAZ,5,5
Q9BVK6_TMED9,7.49999999999999,7.49999999999999
Q96AP7_ESAM,52.5,52.5
P02743_SAMP,37.5,37.5
O94919_ENDD1,47.5,47.5
Q16762_THTR,15,15
Q9H4M9_EHD1,17.5,17.5
Q16891_MIC60,2.50000000000001,2.50000000000001
P60900_PSA6,20,20
P02787_TRFE,20,20
P09622_DLDH,5,5
Q13586_STIM1,32.5,32.5
P62136_PP1A,90,90
O43294_TGFI1,17.5,17.5
P69892_HBG2,0,0
P13804_ETFA,7.49999999999999,7.49999999999999
P45974_UBP5,47.5,47.5
Q15555_MARE2,12.5,12.5
Q13561_DCTN2,42.5,42.5
Q16181_SEPT7,20,20
Q13423_NNTM,0,0
P54819_KAD2,7.49999999999999,7.49999999999999
P07339_CATD,65,65
Q16836_HCDH,30,30
Q02161_RHD,60,60
Q9Y2Y8_PRG3,0,0
Q9NYL9_TMOD3,40,40
P19971_TYPH,87.5,87.5
P53634_CATC,20,20
O00429_DNM1L,72.5,72.5
P09105_HBAT,25,25
P14406_CX7A2,45,45
P35998_PRS7,65,65
Q99829_CPNE1,5,5
P02649_APOE,45,45
P48047_ATPO,87.5,87.5
Q9NTK5_OLA1,57.5,57.5
P54578_UBP14,17.5,17.5
Q9Y2Q3_GSTK1,67.5,67.5
Q16698_DECR,40,40
P37840_SYUA,10,10
O95197_RTN3,32.5,32.5
Q5H9K5_ZMAT1,50,50
Q92619_HMHA1,12.5,12.5
Q70J99_UN13D,22.5,22.5
P61421_VA0D1,37.5,37.5
P13667_PDIA4,60,60
P10644_KAP0,47.5,47.5
P25325_THTM,22.5,22.5
P08238_HS90B,55,55
O75608_LYPA1,90,90
Q15149_PLEC,20,20
O00264_PGRC1,2.49999999999999,2.49999999999999
Q13642_FHL1,35,35
P01623_KV305,45,45
P51452_DUS3,12.5,12.5
P38606_VATA,12.5,12.5
P04264_K2C1,55,55
Q92530_PSMF1,10,10
P02766_TTHY,80,80
P04844_RPN2,52.5,52.5
Q9NVA2_SEP11,52.5,52.5
Q9UFN0_NPS3A,5,5
Q9H9B4_SFXN1,12.5,12.5
P18085_ARF4,45,45
Q969X1_LFG3,10,10
P11216_PYGB,82.5,82.5
P00390_GSHR,55,55
P30084_ECHM,57.5,57.5
P14314_GLU2B,35,35
P16615_AT2A2,2.49999999999999,2.49999999999999
P29350_PTN6,37.5,37.5
Q14247_SRC8,10,10
P41240_CSK,40,40
P27338_AOFB,77.5,77.5
P31939_PUR9,2.49999999999999,2.49999999999999
P00352_AL1A1,27.5,27.5
Q13162_PRDX4,30,30
Q13630_FCL,2.50000000000001,2.50000000000001
Q7Z4W1_DCXR,42.5,42.5
P35613_BASI,30,30
P01614_KV201,77.5,77.5
P09104_ENOG,27.5,27.5
P22894_MMP8,27.5,27.5
Q8IZP0_ABI1,12.5,12.5
P63218_GBG5,0,0
Q14141_SEPT6,25,25
Q9UQ80_PA2G4,77.5,77.5
Q9H479_FN3K,17.5,17.5
P0C0L4_CO4A,7.49999999999999,7.49999999999999
Q99439_CNN2,30,30
P22695_QCR2,27.5,27.5
Q9H4G4_GAPR1,5,5
P11234_RALB,22.5,22.5
P26641_EF1G,7.49999999999999,7.49999999999999
Q08209_PP2BA,10,10
O43396_TXNL1,5,5
Q9Y696_CLIC4,45,45
Q9UNZ2_NSF1C,25,25
Q8NBM8_PCYXL,5,5
Q9NX63_MIC19,15,15
Q9BS40_LXN,25,25
O95831_AIFM1,17.5,17.5
Q71UI9_H2AV,40,40
Q9H3N1_TMX1,42.5,42.5
Q9BVC6_TM109,0,0
P05198_IF2A,82.5,82.5
Q8IWA5_CTL2,12.5,12.5
P23526_SAHH,7.49999999999999,7.49999999999999
P21281_VATB2,52.5,52.5
P41250_SYG,20,20
P19256_LFA3,12.5,12.5
P04080_CYTB,57.5,57.5
P17980_PRS6A,80,80
P45880_VDAC2,42.5,42.5
P63208_SKP1,5,5
P25788_PSA3,0,0
Q99536_VAT1,37.5,37.5
Q9Y230_RUVB2,25,25
P02763_A1AG1,20,20
P12318_FCG2A,20,20
Q99719_SEPT5,67.5,67.5
O95747_OXSR1,45,45
O60888_CUTA,60,60
O14744_ANM5,10,10
Q9UIB8_SLAF5,2.49999999999999,2.49999999999999
P08246_ELNE,0,0
Q13976_KGP1,57.5,57.5
P68036_UB2L3,40,40
P30685_1B35,2.50000000000001,2.50000000000001
Q9Y333_LSM2,75,75
Q08830_FGL1,0,0
O14672_ADA10,30,30
Q13200_PSMD2,70,70
P07225_PROS,20,20
Q86VP6_CAND1,55,55
Q99627_CSN8,55,55
Q9UJC5_SH3L2,20,20
P54577_SYYC,10,10
Q9Y613_FHOD1,7.49999999999999,7.49999999999999
Q15366_PCBP2,62.5,62.5
P42574_CASP3,67.5,67.5
Q9NT62_ATG3,42.5,42.5
P48506_GSH1,20,20
P31040_SDHA,47.5,47.5
P24534_EF1B,5,5
P07951_TPM2,25,25
Q7LDG7_GRP2,45,45
P01861_IGHG4,0,0
P61978_HNRPK,15,15
P40121_CAPG,55,55
P49720_PSB3,22.5,22.5
P05771_KPCB,5,5
P50148_GNAQ,47.5,47.5
P49327_FAS,60,60
O14745_NHRF1,40,40
Q02218_ODO1,52.5,52.5
Q9Y4L1_HYOU1,5,5
P29218_IMPA1,80,80
Q14847_LASP1,67.5,67.5
Q9BUL8_PDC10,27.5,27.5
Q96QK1_VPS35,32.5,32.5
P02792_FRIL,35,35
P61006_RAB8A,7.49999999999999,7.49999999999999
Q99733_NP1L4,30,30
P62191_PRS4,95,95
P06727_APOA4,12.5,12.5
P09525_ANXA4,97.5,97.5
P49721_PSB2,7.49999999999999,7.49999999999999
P35813_PPM1A,7.49999999999999,7.49999999999999
O60496_DOK2,70,70
P28065_PSB9,32.5,32.5
P25787_PSA2,0,0
O60234_GMFG,40,40
O95336_6PGL,82.5,82.5
Q14644_RASA3,45,45
P11586_C1TC,57.5,57.5
Q96C24_SYTL4,7.49999999999999,7.49999999999999
P23396_RS3,67.5,67.5
Q7KZF4_SND1,30,30
P41226_UBA7,0,0
P19823_ITIH2,50,50
Q15019_SEPT2,7.49999999999999,7.49999999999999
P68032_ACTC,32.5,32.5
Q99623_PHB2,5,5
O76003_GLRX3,7.49999999999999,7.49999999999999
P19086_GNAZ,5,5
P49407_ARRB1,62.5,62.5
P25815_S100P,77.5,77.5
P49755_TMEDA,0,0
P62333_PRS10,100,100
P30613_KPYR,32.5,32.5
P40306_PSB10,67.5,67.5
O75558_STX11,35,35
Q14624_ITIH4,10,10
P30042_ES1,30,30
O75340_PDCD6,15,15
Q16610_ECM1,62.5,62.5
Q9GZP4_PITH1,17.5,17.5
P63010_AP2B1,45,45
P02774_VTDB,47.5,47.5
P53396_ACLY,12.5,12.5
P28482_MK01,40,40
O95782_AP2A1,40,40
P46109_CRKL,12.5,12.5
Q99714_HCD2,2.50000000000001,2.50000000000001
P40197_GPV,32.5,32.5
O00160_MYO1F,25,25
P63098_CANB1,15,15
Q9C0C9_UBE2O,42.5,42.5
Q13464_ROCK1,10,10
Q9H7M9_GI24,2.49999999999999,2.49999999999999
P61225_RAP2B,17.5,17.5
Q04760_LGUL,27.5,27.5
Q15435_PP1R7,7.49999999999999,7.49999999999999
Q9UJZ1_STML2,2.49999999999999,2.49999999999999
P00403_COX2,42.5,42.5
Q15365_PCBP1,42.5,42.5
