RNU4,RNU6,PRPF40A,SF3B1,SNRNP200,U2AF2,RNU12,ESRP1,ESRP2,KHDRBS1,MAGOH,NOVA1,PTBP1,RBM3,RBM45,SND1,SRRM1,SRRM4,SRSF2,SRSF3,SRSF4,SRSF5,SRSF9,SRSF10,TIA1,TRA2A,Class
210386369,77990322.1685281,211683.118,3223427.32,1523353106,294198.983,23888.7247,3327158.71,560505.387,3888405.91,358905.721,1582802.94,598293.403,1211322.53,528758.853,2630595.72,6721807.67,45933.6352,214037.585,3786315.57,622065.981645205,39949547.4149813,5343910.81,2309132.04340217,1912467.57,34002545.1,N
986989541,199807165,503137.571,6205149.48,3177659568,462061.047,183574.073,3995110.07,2014960.23,6169080.35,756537.45,2499881.77,754963.865,2832139.61,2165096.67,4172884.73,10571256,19131.7526,854855.404,6044798.32,2507743.02,81695699.4,14289761.3,6946841.79,3274950.82,31043382.1,N
2729435470,71053700.8774385,219341.908,2899259.19,2577509339.85583,225622.231,388788.911,3138783.83,330465.698,3208347.11,565548.093,777571.683,267261.553,2057043.13,523392.117,1104104.3,6079344.45,51328.3295122424,302241.921,1443226.65,442833.111588855,29846531.594056,4752586.6,1708711.68638418,448497.057,9786740.88,N
1.1143e+10,359785780,1943737.4,19598389.4,8219580333,1284800.83,273755.615,5778550.77,1389992.1,21311085.7,1624316.15,9455665.74,2290812.65,6653849.43,3794574.38,7198940.43,21697511.8,76474.9183429,2004580.2,15939931.1,3956315.59,269117323,32584592.2,12822018,6158473.77,52942450.5,N
1454466791,87606206.4,147060.064,3220113.53,2783801251,177499.762,166429.179,5860865.33,996872.515,4301381.52,493299.529,1439867.1,239647.594,2648783.33,873795.308,3553973.92,10489255.3,80841.1739,663102.165,2627055.59,948168.295,55895189.4,8541713.4,3663201.76,890510.8,15093030.3,N
3.4822e+10,221475965.791824,1782016.71524775,12362842.6099878,5980178695.42347,1220405.47747745,985025.688,10503648.4,4145550.97,19091146.3311698,741119.565057761,16255620.9,1765585.28251271,5698317.77703701,3963213.26031041,8219347.68592776,46121564,272292.806,1070685.15627059,22733714.3878042,2675474.7409374,127724116.753461,43635100.8989263,14798157.3273021,7663712.94241758,41244927.0960508,N
8300850484,531281626,2697035.56,19244064.5,6514940570,1346463.85667116,959317.253,7811728.87,3472107.13,32594115.2,2197482.22,14140434,3589941.05,9541607.44,8515873.88,12720439.1,23467053.7,85132.5578,4242098.03,29111609.7,3297801.76819506,153295165.342528,75456175.8,16038229.5225803,13849703,48461380.9975164,N
1.1842e+10,204462709.669955,1824996.43,12097108.6781109,4783263466.66998,1372068.54575467,197952.580690546,3374552.28808874,1880910.39,18434112.4372731,738751.626392899,6090453.35,1839456.47538469,6058055.21789179,4127118.85671849,10391457.1,19542729.7,66247.1323,898421.177886367,18007956.6,2778340.43403186,142977973.088839,42424651.4,14582740.8687032,7899390.43,54373944,N
2.819e+10,237207759.333428,3791864.41,22230935.5,5690092258.18648,1311821.6408084,996044.556,6477003.25,3110812.06,32280871.5,2454974.36,10031265.6,3061189.29,6300738.96009393,4478721.20605812,16200154,28757906.9,74471.1435,4413593.58,26927041.2760669,3121113.11418593,149551766.825594,71659148.3,15879946.5292006,10816393.9,65665150.6,N
4911138045,151042177,542719.415,7483676.79,6228446587,330496.08,436771.213,4626888.72,500414.49,6090563.9,723619.528,1703082.34,395123.012,2716822.15,850019.127,4576532.4,9562084.73,86064.6434812428,1045176.16,3226863.8,979362.314,43567763.7,15311927.9,3130809.17,1434869.08,18010934.8,N
2512981539,106486888,867874.541,5265473.4,4530792105,143557.966,141222.719,3457903.54,631389.87,4354835.28,580801.13,1107927.67,413212.473,2183732.94,789539.798,1996841.25,9031424.49,131257.95,743487.438,4607130.85,605874.256,49486734.0940786,9764302.35,2442249.08,1491779.02,18424572.5,N
1.9595e+10,218719437.532704,2010700.30988188,28190363.9,5420934586.03827,1292662.91771697,162093.057636497,6813115.25,2588955.7,42343129.4,3639145.89,14611395.7,1938781.88196667,9491290.11,6861550.68,15653159.7,37890161.6,198303.293,1147753.02586265,27044926.9360728,3317015.48251975,150206882.655899,45622257.622944,16534869.8185392,13070123.4,108871607,N
2.7661e+10,216286037.974522,1800359.62435215,11733220.8475734,5614667880.97062,1208089.12095971,912342.408,8909264.81,2932283.27,18533738.0705881,712688.28270553,17788829,1718060.33152202,5414090.83832318,3776321.68558387,7868169.24518986,20769468.2348384,112622.6570161,1037292.45771223,21915711.6007193,2659656.44964938,122045077.210681,41270050.519584,14338781.1804689,7345352.91972384,39784343.893197,N
2.0921e+10,232748742.870736,5018799.66,28829158.8,8101061150,1297835.73411178,231889.246,8876858.61,4793400.06,40851572.9,3232643.33,14097126.3,4169497.31,11072872.5,7582934.61,14357596.2,27717572.9,40503.6931,3590852.29,29041679.3,3327613.0975771,152125297.377446,76151777.2,16038584.4265017,12579883.5,82923807.5,N
1.8332e+10,255903335,1270175.83,16863521.4,9642503026,1142387.41,374619.933,4797227.42,800491.616,17341683.6,1209358.28,4724840.78,1985776.16,5024795.17,5272479.53,5373003.21,18448466.5,175220.094,1342809.03,14922372.9,4552681.72,164752594,29290011.4,12140761.8275035,3665113.44,36017454.7,N
8903234583,224216364,361813.429,2795075.49,1.47e+08,103480.989,847718.145,3827374.22,988403.859,3331768.29,256035.321,242595.095,377522.801,1937615.96,230099.122,1391382.79,9783027.81,79563.1312986333,210022.601,1413268.85,494801.033,16537858.5,9656823.16,1351987.78,364575.813,5365370.96,N
2.8511e+10,223619399.887356,8929542.76,13001445.5691534,5459464902.75058,1276764.78387517,184799.27202333,3329896.9246948,8796867.64,20839219.9459862,763296.316793337,15888705.3,1850482.91145721,8406893.91,4398949.03422694,7336545.94205696,22681761.7878582,34587.0797,1074322.27581777,24953324.5887188,2946766.74331904,145675507.02319,43684792.9933771,14062618.185123,7801249.49247016,43759577.0545287,N
4126192406,292721123,603271.264,7292812.94,4449562404,623259.802,86019.6763,5650583.91,1574348.82,7325012.94,655471.598,4864117.83,1210436.19,2427376.89,2090012.18,3537078.58,14714752.5,72133.274970663,597450.196,6742672.5,1770449.59,102905439,17454252,12267937.9,2645542.42,34001433.8,N
2.9355e+10,220413556.59915,6436565.86,12903969.1039551,9168496122,1320294.89696266,729649.861,10496015.3,9153041.2,37713755,3303280.09,13872042.3,4683909.62,9563900.74,11147224.6,17442058,33403779.4,346512.978,3765444.35,25119450.7,3069298.98035741,143611690.308763,44814680.8806842,16098123.6144444,8414469.09162502,46935247.8418165,N
4915086401,470231241,1950976.44,10101393.4,4626065838,1208296.98038476,678041.178,3962316.01,2236191.69,12168712,1398244.45,3653602.39,1550268.09,2647571.74,3626772.38,6400237.19,18425326.7,303438.406,2188261.03,7787451.66,5191565.95,151887923,41309249.6,18060587.1,5552839.85,46411394.1,N
480736022,46572061.7,30080.7324,1950041.82,1371679255,52291.1768,26514.6978,3910689.24,23499.4373,2838074,271325.63,850485.726,178221.727,2448753.97,274836.178,707474.325,7306955.56,42746.2955916033,178137.248,1181846.36,227451.108,9562886.8,1557327.33,1512927.07,296901.429,6864208.01,N
