id,CA150,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,sf3btv1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC
CP_1208,31356086.6936174,4893502.59246313,138291.024138027,4219.75395529607,59089855.5902552,4980614.75224925,78079.7298432237,3573.0723302278,60757468.8203087,373459.727447195,20324815.2529353,8341680.59233371,22666411.2103246,17440547.3995834,40100342.1612541,8310831.70852117,1450930.46245615,2673514.58250182,10542527.3257507,50556742.1776835,625329.858323849,34194030.6829785,36316828.2739329,50897.87748166,36852920.0340691,146664541.749423,14596351.4670181,116862166.369275,8521666.3361275,83006430.1815565,26461384.1091352,50237581.609328,67157385.8424256,,98728654.4299004,95227.9687657172,765353885.282093,14933024.1240236,11991630.2281881,2380413647.81784,831903.421863343,35625978.394394,90786617.3529948,2052959.94980832
CP_1258,26844408.126178,4780392.77031278,98738.2415867911,14776.4737379475,36433139.429218,3847337.30744266,928259.299617804,,50720708.879597,99131.3735672592,16582759.7008756,7950765.65352428,18572410.1822858,18031615.4628954,28366679.9167901,5143447.69196946,758201.300370938,5231374.66929984,5612495.83385319,36377800.171846,193823.728816864,28236220.9986439,26960690.6288889,16336.8007997174,29024308.8972254,73490982.1696665,17986229.4391312,114490703.696037,7992503.11544424,66118121.5906324,17941855.4473503,36158191.9781775,52292657.3989742,,92230239.7256195,32371.5683852269,366052237.608885,25142861.6444103,19811198.3735653,1909183298.19087,301733.275279169,30146923.0774263,70555834.3168455,2577659.80689255
CP_1328,27646432.2494201,3771482.32304553,92424.4009266444,5976.87411112198,48278031.6129737,5283231.97473498,209228.741362408,,49083131.7087517,163881.841956185,19787447.3479491,8241009.88031202,17030614.6991419,25550609.9303208,39432382.9907484,5980171.64043076,1053609.40410785,5375753.11611714,6768517.11237112,42649898.9507069,411017.570488133,24943459.8872568,24137481.0223712,17052.2891955866,29789325.661031,97453366.7309068,14325402.4551883,94135001.5954309,7427964.20647456,71830977.486864,18858053.0463125,41192382.4704683,37353735.2589209,,41349608.9411659,45445.4523295734,159238318.611829,21937592.8868474,13648920.9759139,1081584255.63487,2071121.91870501,24009281.8883591,55341417.1977441,1889500.76134872
CP_1349,37891329.0529723,5091778.82120321,141658.507670916,13437.8223119327,54500221.628554,7432644.14507734,249873.25168138,5837.35616700371,43056193.2766108,1200926.53025345,23037867.9570562,9318611.43783347,19807926.3471276,24795724.7430497,32636968.4916494,10223168.1236654,1449193.30000381,6176740.538734,10447995.6454073,55580009.8876426,2813444.86318347,33833224.8353722,30062180.7958661,62203.5658761974,40952227.1439289,154484941.471663,19057525.9692833,151798632.036984,9185040.13201581,72382293.6795715,30220048.5309622,58251473.8932272,60552688.9750178,146034968.437203,68946015.8858307,94570.6892723663,762683648.715741,11245846.9998278,11319300.6798709,3593497001.19313,3214867.54461937,24467261.1117949,47432957.9192825,1170641.91829172
CP_1352,9199430.35337526,1984774.27139217,303777.167131319,4633.92931154484,11060381.4727728,1469331.52913665,249958.866589567,,23589845.6099654,150318.829038184,9060003.29744453,3203278.77572854,6735969.39399125,8095748.37039956,21411996.5681989,3497365.93828002,223716.147552216,1206421.47653339,5086690.96307304,20561935.4878069,277262.678212044,17451313.1356395,14510696.8200669,100772.179453287,18448047.1219864,41792126.8424942,5486265.94648087,55490924.3912821,2937335.4055696,46660703.2286586,6877616.06872067,14779310.3385858,26251685.4201686,,62461793.2939233,20925.0911308011,1768910530.26026,8250048.61375948,9106516.42322024,5479672133.67506,349321.141123798,11709071.1743848,49663724.6884365,1419038.63996307
CP_1360,27706188.7616549,4633922.15345502,369942.045686684,10749.5677355238,33466592.1125675,3089263.99908835,791820.56608345,4486.43571816534,44102118.9773516,79980.9166043709,1582576923.14022,7667139.86878883,19526022.3521509,19245096.8238453,27818379.1912442,5216354.44155539,1379436.96718062,1603217.51896576,4888066.22312001,35573690.4866258,1732.95730396524,32577225.4178671,19542030.9013472,70749.1677140094,29653261.6984329,89087505.4087353,10161786.5777368,114949609.631888,7528414.83780222,74732773.5097813,16247730.4841212,36812169.1285071,39109504.1802532,68426338.8169736,118659946.160781,17089.4247193176,1019553476.11819,9519433.75379407,16475384.9286117,6055273049.76425,,19829881.0850537,42036147.6194293,61358.7526807438
CP_1372,30124930.5459392,4833998.79769703,206911.609121687,20145.9741386808,61803359.3708284,4402789.17787887,6094504.33751284,11762.6499468042,66229258.9497882,450715.069461913,22040767.5909724,9430695.52993092,21701748.2197984,26547952.1991871,51936843.6888247,10040030.9402645,1043372.03774988,7971589.2440543,12231661.4229849,48083686.1044634,1104709.4938627,34038007.4258199,43155981.1494909,35683.5235488419,32375060.3307091,123300103.592237,16289415.9477064,113017818.124736,7241931.4630476,96296847.8726616,30875927.6355623,43047383.421017,45598300.0156194,,93539460.4097168,45086.1722861957,241682454.63323,17419986.4549512,17923927.6539867,2869157623.32985,1906362.69516137,25398034.6826043,127045231.144876,4078501.05708378
CP_1382,29392910.4036118,5762102.34282644,158048.275527061,,62673144.6758536,5714036.0571638,59038.4437627029,4269.27013805146,41347180.3699259,215401.354909032,21618150.3263846,6238998.00970675,21584059.4186094,,36410194.5774149,7508958.47656226,1607238.04510837,3473607.15531645,7245995.4634576,40311936.1356436,508233.607411525,35152538.3824366,27335783.6085098,78533.720969273,36914541.2611796,154746306.911974,10967135.7296358,138225110.822573,8744284.82499635,96129966.2873975,27748953.4590894,41960049.7789456,59843607.275404,75336322.8577312,192649905.980347,1308969.57705325,845574852.74962,12350779.2961935,9774766.11786629,3778409842.85033,2427547.4171403,22470335.6840395,46163561.8723713,1656711.06857463
CP_1413,32256104.0493583,5536053.88142555,65643.0973622967,14777.5376833417,36156509.3809663,5774658.40401175,581020.474112447,,65012681.8222258,489327.70001787,23002864.7772379,8539417.79642119,21341106.9095359,23374764.3466162,52092324.7806884,9444904.35670146,1594844.0504115,5206757.50076295,6460810.4149427,48163086.270864,327687.750353746,35827534.8638639,36026486.2503327,16345.0798155471,36782021.685148,120176927.96085,16900451.7157524,132842624.201783,11613094.5186159,91444101.269666,30327239.6314853,47689655.1412958,65045194.9915009,,94651487.9121746,29382.7397806507,467107185.870027,22520794.5880097,22151526.9130185,1552991915.11757,663875.676961492,43089591.0738217,127178530.335057,3561260.46883379
CP_1419,20576692.6877866,3242426.24924088,167401.027121843,8738.41880343805,41356613.2269628,3320802.65776755,4390969.77725539,2406.39730333834,47594553.6819672,206302.850538823,12835229.9888899,6352209.93229891,17870485.4773593,20538022.7874673,40914886.3257948,5985256.22041926,619529.192569283,4301189.32089193,6753123.10964996,39565575.2229279,473585.993027901,23313363.6482545,26791963.1412097,32878.8232549791,26803690.9362495,104449743.796709,9672000.72856535,106596734.67613,6218260.52073368,79398032.6113559,22087611.7499913,41727008.8396951,38307685.6830124,,42297426.7183362,16804.1433720253,208698873.496876,12319847.0221477,12277763.1162056,2659999272.35413,1189372.85171171,21138696.5871934,89115129.2297582,2187309.48125696
