MAGOH,RBM22,SRRM4,PSF,NOVA1,SRSF6,RBM3,RBM45,SRSF1,SNRNP200,SRRM1,SF3B1,U2AF1,U2AF2,TCERG1,PRPF8,CELF1,ESRP1,ESRP2,RBM17,SNW1,SND1,TIA1,SRSF2,SRSF4,SRSF5,SRSF9,TRA2A,TRA2B,KHRSB1,RAVER1,PTBP1,SRSF3,Cancer
2471104,8158629,0.0000,34902591,151455,38632921,22957354,1646074,29214827,46078119,21720511,62167543,14489106,32314050,6378663,51104433,24447784,22111195,19748310,12434260,14139745,73114200,18846732,22300563,14466566,34177310,36096920,21694215,20465815,31198347,13414726,45499624,45848986,1
3420639,8729444,16621,40916026,1050459,56199534,32371410,1928057,36795968,57349720,28989335,70507872,10350432,25266633,8237684,100909091,22920264,23291011,15952260,11493144,13372270,87658710,13616049,24449873,13428136,50152362,26764855,12955815,23270696,36363636,10609446,41919756,43626206,1
2543720,8827504,0.3975,36895668,957870,44173291,57635135,1732909,40377583,65127186,30592260,39739149,9260210,30624332,4804362,93822963,17415010,27568954,25790036,8509728,12200128,162347659,4601240,17242613,14246312,34342527,25460765,8432756,16322429,31257216,15486423,50476801,32129570,1
4064467,11198772,227168,37468550,963929,57111282,51223331,1749808,33725249,57731389,17718121,47264494,12222851,32693458,4958357,84185332,17837794,21689981,24235465,8632651,11216948,80006469,5863993,23232926,13497210,32382955,32479987,9803509,21880812,29491388,16185008,50437455,43312040,1
4423933,9432933,0.0000,50855572,118040,47693281,27960077,1801393,49073835,52235254,21195229,69514586,8513051,31413724,7580017,94867131,18063068,41608598,23089642,9252392,11685367,108475257,11621590,19511633,14775009,51439707,23181764,8350065,19220503,24393528,13482934,46356443,41776308,1
4691060,11836382,62133,47276596,759406,56064895,27928892,1622368,39478771,58646876,23954674,47671388,11716714,24923513,7286119,64198300,19201133,22062323,16249292,11025496,13609065,77665722,11858357,19163343,17342776,49076487,28079320,11688385,21354108,35818697,11977337,34662890,46764873,1
3088303,9387425,27739,56987471,272769,66079519,39045307,1837725,41435506,72043458,26181330,74370544,10319550,28029858,7696050,52631049,19739998,42324918,14714418,13476474,13295312,66218234,11453493,26393089,13976348,33860606,33132601,13875702,28257989,37728760,11463558,40412648,49172188,1
3597050,9493798,13409,43316091,573248,67945022,36473349,1753269,44384847,66490111,32725160,55943569,10081334,19666437,7029946,78826804,19048324,22787471,13433073,10298979,11496029,66508076,9780983,23602031,13681189,54485345,26970616,11034621,23801699,33012451,9054048,28955542,46262702,1
2552127,8744787,16681,44520434,296080,49695580,17397832,1618015,41242702,59737281,24103055,59214309,9547535,18090067,6234430,101829022,19329288,25278399,14087086,7256468,12864899,55896945,6971149,22746386,10961354,45442351,25546684,14449058,24243586,31333972,9781752,33590972,44450122,1
3139722,8596186,11274,49524011,225474,56937757,35591030,1753058,43860280,64733511,26391688,48431990,11643577,25484887,5022040,78476071,16813602,29442695,17877834,10878463,12276448,79458438,6142947,20704251,16196474,37115869,29301008,11382242,21879723,35125945,11744332,37166247,46457809,1
3473520,9714434,10384,56975805,264798,46053998,38042575,1677051,52881620,90363448,19995494,56593444,8491608,37512673,10562127,108960234,17647854,26328715,22512110,6975330,13964177,88264053,6096654,20431903,11977019,24071195,21336037,7741354,22636026,25864594,16158612,44589388,34795539,1
2678917,9716312,48356,57772179,2930368,60190200,61637653,2176015,47640232,66824629,20347107,55487603,5294766,45112948,8977961,65093664,20672176,11542700,27666667,9245179,12418733,116179063,9752066,24857796,13685950,38600551,37022039,13140496,20311295,28823691,16815427,59446281,41628099,1
1904551,9448971,18446,59119433,212129,85866202,41604988,1743148,48342395,66364152,18993619,40005800,16815545,33027842,4216937,65162413,14776682,26177494,15896172,8744200,11774942,85725058,3790603,26121317,11157193,32038863,25252320,14660673,22665313,28291763,13106148,42238979,42761021,1
3928999,9347708,0.6534,55433170,287488,42628771,43735163,1929653,43112273,72984863,32566817,71251654,10526594,24225986,7647526,95620535,24826674,27382906,19716856,12095793,12492723,72937285,16988621,22252845,15646997,44707595,26813972,14207462,23945488,37218841,11521567,37933316,44911352,1
3895675,5259840,0.3393,64916576,135738,102091805,35217176,2426313,47650760,92542649,28881306,74713640,12520520,23281380,8949553,101709859,22292723,25738264,16578438,9019644,14121553,65129577,14235913,28744960,16043530,49432814,28409112,17345753,25387808,36358941,13361616,43803375,53173476,1
3278702,9674929,50898,47373348,653196,69124209,33639572,1666921,43115149,63236966,30671689,87313245,10577527,29403641,10200879,90891400,30351538,52699309,5951036,13848085,14287508,97947269,11173886,34311237,13892028,29334589,24883867,15373509,25787822,39993723,6629002,42310107,54312618,1
