pred,obs,N,S,rowIndex,C,M,Resample
N,S,0.634920634920635,0.365079365079365,176,0.3775,1,Fold09.Rep1
N,S,0.634920634920635,0.365079365079365,179,0.3775,1,Fold09.Rep1
S,S,0.35,0.65,198,0.3775,1,Fold09.Rep1
N,N,0.706521739130435,0.293478260869565,2,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,16,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,20,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,45,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,57,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,63,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,81,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,89,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,94,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,98,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,124,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,131,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,133,0.3775,1,Fold10.Rep1
N,N,0.706521739130435,0.293478260869565,139,0.3775,1,Fold10.Rep1
N,S,0.706521739130435,0.293478260869565,146,0.3775,1,Fold10.Rep1
N,S,0.706521739130435,0.293478260869565,175,0.3775,1,Fold10.Rep1
N,S,0.706521739130435,0.293478260869565,183,0.3775,1,Fold10.Rep1
N,S,0.706521739130435,0.293478260869565,184,0.3775,1,Fold10.Rep1
N,S,0.706521739130435,0.293478260869565,190,0.3775,1,Fold10.Rep1
N,S,0.706521739130435,0.293478260869565,202,0.3775,1,Fold10.Rep1
N,S,0.706521739130435,0.293478260869565,204,0.3775,1,Fold10.Rep1
N,N,0.831683168316832,0.168316831683168,33,0.3775,1,Fold01.Rep2
N,N,0.612903225806452,0.387096774193548,39,0.3775,1,Fold01.Rep2
N,N,0.831683168316832,0.168316831683168,41,0.3775,1,Fold01.Rep2
N,N,0.831683168316832,0.168316831683168,42,0.3775,1,Fold01.Rep2
N,N,0.831683168316832,0.168316831683168,49,0.3775,1,Fold01.Rep2
S,N,0.363636363636364,0.636363636363636,50,0.3775,1,Fold01.Rep2
N,N,0.831683168316832,0.168316831683168,61,0.3775,1,Fold01.Rep2
N,N,0.831683168316832,0.168316831683168,70,0.3775,1,Fold01.Rep2
N,N,0.831683168316832,0.168316831683168,79,0.3775,1,Fold01.Rep2
N,N,0.831683168316832,0.168316831683168,81,0.3775,1,Fold01.Rep2
N,N,0.612903225806452,0.387096774193548,87,0.3775,1,Fold01.Rep2
N,N,0.612903225806452,0.387096774193548,100,0.3775,1,Fold01.Rep2
N,N,0.831683168316832,0.168316831683168,117,0.3775,1,Fold01.Rep2
N,N,0.831683168316832,0.168316831683168,128,0.3775,1,Fold01.Rep2
N,S,0.612903225806452,0.387096774193548,163,0.3775,1,Fold01.Rep2
N,S,0.612903225806452,0.387096774193548,170,0.3775,1,Fold01.Rep2
N,S,0.831683168316832,0.168316831683168,177,0.3775,1,Fold01.Rep2
N,S,0.831683168316832,0.168316831683168,185,0.3775,1,Fold01.Rep2
N,S,0.612903225806452,0.387096774193548,187,0.3775,1,Fold01.Rep2
N,S,0.831683168316832,0.168316831683168,199,0.3775,1,Fold01.Rep2
N,N,0.817307692307692,0.182692307692308,13,0.3775,1,Fold02.Rep2
N,N,0.616666666666667,0.383333333333333,24,0.3775,1,Fold02.Rep2
N,N,0.817307692307692,0.182692307692308,48,0.3775,1,Fold02.Rep2
N,N,0.817307692307692,0.182692307692308,67,0.3775,1,Fold02.Rep2
N,N,0.817307692307692,0.182692307692308,69,0.3775,1,Fold02.Rep2
N,N,0.817307692307692,0.182692307692308,82,0.3775,1,Fold02.Rep2
