@relation 3groups-splicing-expression

@attribute CA150 numeric
@attribute CUGBP numeric
@attribute ESRP1 numeric
@attribute ESRP2 numeric
@attribute FB11 numeric
@attribute NOVA1 numeric
@attribute PRP8 numeric
@attribute RAVER1 numeric
@attribute RBM22 numeric
@attribute RBM3 numeric
@attribute RBM45 numeric
@attribute SC35 numeric
@attribute SF3BTV1 numeric
@attribute SF3BTV2 numeric
@attribute SKIP numeric
@attribute SND1 numeric
@attribute SRSF1 numeric
@attribute SRSF4 numeric
@attribute TIA1 numeric
@attribute TRA2A numeric
@attribute U11 numeric
@attribute U12 numeric
@attribute U2 numeric
@attribute U2AF1 numeric
@attribute U4 numeric
@attribute U4ATAC numeric
@attribute U5 numeric
@attribute U6 numeric
@attribute U6ATAC numeric
@attribute Clase {G1,G3,G2}

@data
3735142.772038,3475635.676629,534090.465236,5219269.550615,6918889.535589,596533.339976,11962977.026871,441010.381203,6123041.084195,6156645.424373,519463.917105,1924719.245275,1350185.379168,19834719.160507,37789.50315,15776494.476957,168983.612528,2565454.831943,3865011.860115,5176167.558797,34613977.062765,4443.862316,127699095.18561,4953041.355156,2600451254.39623,135.888505,11648897.478686,23917543.703022,64054.359509,G2
3332285.974667,2753823.615453,663384.282336,3922599.948741,5631716.290382,584010.694802,11944386.020159,337277.476054,4969732.650913,4624166.242588,265209.618235,2059944.503664,1667724.623342,12603715.097687,66258.673046,14930178.007943,253752.600043,3336734.690836,1761645.884937,7616801.037733,43858648.062824,626.20246,40336404.316992,4141287.779238,2512306447.70948,36.705346,16723785.765253,8897526.340339,29114.074976,G2
3794805.379393,1988717.100605,588117.608136,3333433.063634,4767437.409693,508973.995792,8884893.3377,398331.670381,5695992.427653,6420588.853964,322303.346016,1400807.590277,1370910.155295,19381903.370615,29212.782444,11522491.196454,162176.245903,3124432.983899,3102126.002249,4424528.738526,61086618.4068,3165.995068,222120236.0597,3542790.587095,2673962986.85413,505.303286,14841746.576255,24454098.862949,75666.439808,G3
6609006.967795,2544592.435353,588117.608136,5727274.555764,7576391.920815,391945.460078,9608966.655467,562946.266027,4901065.028208,10780151.130154,262887.738452,2953440.605284,2039858.722408,18794511.7158,75526.583536,15438131.978079,353776.463529,1733303.252628,1069535.207973,8562968.021587,24802615.245974,1599.690313,93581374.994473,6706517.663172,2536602727.45911,55.568616,18907813.932105,8396685.829166,44596.592801,G2
5094216.034948,4074674.514135,807447.687426,4765487.107736,6440411.965494,773878.420317,18334976.345339,589798.092918,4874800.977327,5450472.455161,614856.331092,1726067.466432,1119941.787122,17176836.856509,54554.507656,17776338.13987,303872.671508,3390232.170107,2667594.93534,9327536.357169,68966513.742525,3685.162596,140803841.663262,6116473.135693,3910090884.71407,123.520101,25526107.280777,20030908.147076,41419.6616,G2
9001826.086173,2645591.860072,2798308.50864,2901043.647908,4423994.726073,1733224.302935,7209362.198557,381286.42386,4822927.848649,6733859.198424,454513.121807,1067908.239732,919704.468174,38869772.379693,27975.256475,7989705.905615,698879.559341,1771783.910046,2148396.035506,12322623.346337,158034474.003933,1059.184385,864418084.932814,5315708.62442,7907914264.15665,404.940319,23500039.640655,42177565.462601,79986.554083,G2
5349906.942971,2631944.705173,1404568.6264,5555750.978256,6521128.280223,727133.012132,9304243.244805,406600.48226,3826810.01968,6952703.40793,333577.661855,2084706.746878,1665931.148204,19688687.914275,75141.356122,15342280.523918,490787.055201,2401217.093683,1572397.767192,8521187.232363,66629665.905938,214.666167,398267413.548703,3978156.179051,3311180661.85712,428.622724,19935244.556295,19471905.546968,43220.314736,G2
12859232.153665,2439698.934089,2884966.380274,3731738.686594,5837208.083136,1447092.213998,13317866.488763,444271.39949,3766558.158472,7868298.223239,559356.49781,1748117.290667,1012347.680547,17224311.367309,52310.858333,16144213.05725,1148074.788306,2358587.888387,1853707.687831,14274521.197171,208897112.861742,1324.468839,74543531.785292,5045502.925404,2199021639.44664,10.13695,17691128.748831,9373844.665505,38854.822929,G2
2112036.904347,1961801.95139,255546.875573,5781961.316651,5276616.661763,261413.876069,8911537.166018,555314.580655,3726500.871272,6679684.007894,396714.929281,3350026.897203,1153403.908419,8638120.571483,46968.243356,17520773.89792,55958.168566,2122080.440415,1168504.861431,3947352.535684,20583469.963922,1241.795463,57856759.69846,7867062.690969,803990918.309901,730.075167,15067322.73699,16021338.448243,39480.975137,G3
4217027.975951,2320711.95315,741975.328643,2302508.209914,2876763.881145,2299246.866532,4168081.378699,159018.013972,3815519.36143,3677007.221913,276623.169978,606787.67149,965825.595685,15140537.502624,12986.671943,7086711.908537,2343720.49634,1106051.137617,1572397.767192,6478464.64351,186105633.824449,1241.795463,94821143.903743,4956361.607247,1695953747.62557,1632.842908,13337934.309733,16021338.448243,189025.843187,G1
