ESRP1,SRSF1,SRSF5,RNU2,RNU4,RNU5,RNU6ATAC,Clase
100951.9322,49319.2693,176979402.6,744235183.3,2163957622,35675123.79,2043449.467,N
117899.9832,23478.38871,97496120.1,83956894.12,2172260182,20501582.99,620666.7561,N
128609.1777,16398.30411,107178966.1,420498443.5,2168088155,14828945.79,1381489.183,N
125394.2872,14445.07874,139949835.1,457173889.1,2332052055,31740832.28,2541641.838,N
149337.4482,84118.54707,120231257.8,982777053.1,3487152955,33920202.8,2766912.398,N
674414.1701,167890.3759,258415310.6,,14213652001,22090864.74,2301281.155,N
,,347028045,,,81629316.94,130708.356,N
179770.3662,78983.49317,111410298.1,320060805.6,3052584637,17611859.79,137925.1478,N
117249.5579,38017.04516,131330604.7,681009816.5,2559916176,31241163.57,3910644.231,N
156042.9045,57613.51782,101555066.3,1521809784,4186041020,13436650.25,2415121.178,N
170336.2316,55482.84815,113430182.1,582401103.1,2731087023,29624860.47,1884969.444,N
134679.2082,68410.64127,135820690.1,376210034.6,3455501898,21037135.7,143894.3135,N
666402.9723,233153.0226,162690092.4,4437166097,12674012631,17594914.85,3276642.626,N
215202.8134,59014.68689,115589176.3,317824696.4,3992913971,21081875.14,81378.93638,N
2349917.83,698369.7051,231926256.9,2210127349,19428458992,14341018.1,11223161.07,N
119653.5848,30408.84638,116848067,508530387.6,3541173293,30024711.98,3560938.943,N
856677.5991,369104.4144,179424657.4,,16081765931,22879224.74,3435901.708,N
121250.6836,15956.6168,130050160.2,69063776.54,3187639651,45068539.66,1146742.084,N
245878.1848,60099.60684,126370613.5,957971259.5,5077407966,31583379.73,2597734.626,N
130054.6571,15309.93223,154092455.5,317091523.7,2674666450,41651730.17,2786193.345,N
798757.001,180045.8609,133571751.5,4314705890,15405323310,12216418.08,2002810.568,N
406720.2095,21198.00658,117454157.2,,5796922521,,3228318.573,S
80511.59823,42154.48863,152911528.8,193843845.3,1735204521,22022506.69,967102.4236,S
242930.6103,28501.14708,,101038871.6,6680449560,2320769.374,840564.0039,S
144765.8527,26488.49348,128710610.4,171769983.5,2041024605,24158217.55,1529127.585,S
94688.76432,4247.523272,109710239.7,252304875.4,990171242.2,19481073.06,4306621.449,S
96036.4058,16951.08803,105180069.2,263669047.5,1189222212,13652185.43,2598800.725,S
250853.7664,75623.31425,67222757.55,403919678.2,2663643363,11353671.79,4686823.102,S
100381.6147,27196.10431,141920754.6,572548691,1812928546,39881575.93,1297200.588,S
153339.9055,50482.26365,149937804.8,782689735.3,3409842600,35309487.6,983873.9962,S
242586.6557,62262.36387,262719323.5,28595874.58,2733373497,2346016.438,235236.9969,S
1220215.226,69821.03336,195452093.9,182643385.6,,947065.2013,448827.9532,S
53006.0221,32395.41359,,489292408.6,2312228918,,1744081.114,S
804026.6351,100490.6365,90587483.6,24789984.19,3152318016,17815027.56,625357.2346,S
124021.1723,5035.618557,129221382.2,524837066.4,1621727608,25588128.27,1685857.671,S
56989.43658,5219.231863,65347185.8,102488942.3,1030377715,16664698.69,691575.4375,S
128428.14,13096.28301,106987381.6,354326332.7,944229515.1,21448822.56,3659572.868,S
103466.3515,27504.35426,112539404.5,514645297.3,1349789181,15316653,2424621.922,S
144981.5127,26575.47863,102178132.9,379415348.5,2504344878,16464307.63,1403206.508,S
264238.1031,59516.66257,137512162.9,625437019.3,4466852162,20777090.73,67820.57158,S
274818.6448,49004.51505,114989693.9,670775115.3,5339005278,16794467.46,70523.57747,S
86905.75037,23993.61491,114285240.2,139635177.5,693294107.9,27919075.46,1285014.357,S
126433.7016,35549.78834,177105356.7,425552523,2135497461,20566097.35,151734.5637,S
71945.9261,22296.20815,57900038.32,176258083.7,1368038256,14331862.13,1178551.355,S
252826.7657,148170.6181,146566425,1117843591,8541138837,18394478.2,80155.76107,S
113839.4718,68986.20644,109726852.5,559807820.9,2463008517,17962461.72,109760.0885,S
111578.6202,13571.67889,98705599.85,442593213.9,1996510097,27515614.56,2707366.957,S
83842.4192,34554.9038,116111586.3,460978561.5,2308830458,28916761.07,3836180.691,S
116865.2122,20564.03386,80047981.85,467984615.5,1607342408,12850078.71,3153351.381,S
115124.2538,2280.736123,94745626.08,256877809.2,837307211.9,19935515.22,2043135.089,S
197134.1759,24124.35073,128162547.2,691677077.3,2384026749,22025055.84,3250633.758,S
99177.11353,43755.20007,115759465,368261292.9,1684636837,17561426.34,146658.7117,S
271912.4147,31423.85077,40833155.46,793519510.4,4986308888,6559289.621,1367005.454,S
141861.4797,55975.34949,148204250.3,587230414,2856160556,20104696.15,320595.5209,S
1321408.989,,111694877.4,828258454.6,,22401845.69,37991.78454,S
,,242204489.9,,,12098884.02,81277.26751,S
210414.1052,63313.57915,134269830.4,,3944327658,11773333.93,3761417.485,S
151248.2058,52882.1478,122927387.3,525982088.9,2886111180,23240398.03,4307326.107,S
258980.2561,66562.63548,100342422,432795960.1,4324935693,21385005.57,60633.34367,S
736738.8443,,124805035.8,587554826.4,12568621339,23090298.38,41789.89635,S
131786.854,44778.97766,100157556.7,384902981,2327000906,20894128.16,2241371.988,S
199190.7916,14401.49507,113928873.5,188228595.6,1563455993,21058075.95,2525597.468,S
112728.637,20119.64307,80416288.34,120683555.6,1637299621,17088712.43,1064738.035,S
87188.47422,14778.97224,95142989.4,158238698.8,1145137709,15546058.44,1329757.19,S
76830.80403,14145.35366,104010810.1,143200027.1,1413993128,17998291.93,3110372.971,S
103001.7309,17393.70271,163121137.2,440624654.4,1604997780,34312271.48,3285394.274,S
194824.2729,43880.94252,138300225,772450497.5,3104551629,32316536.09,911662.3047,S
230339.4256,181699.1626,89249971.71,2506024029,10943049456,11536438.63,1826261.464,S
245064.6764,109588.6403,158943094,219992494,4434383266,26585344.09,1731710.032,S
438110.7905,18095.14709,153666330.4,322211498.8,3698078494,20724676.51,3449401.91,S
21979.71628,14159.75295,200131464.6,323216730.7,1280739449,36192169.07,1500293.053,S
112351.1929,23391.23643,,119348134.3,3352511907,5337255.253,169781.9884,S
56001.58337,24658.13251,244860802.3,344529282.3,1696767541,44772308.88,1379722.336,S
,,23916263.35,781446307.6,868984254.7,6667243.806,,S
,,198298860.3,2094394593,,24614110.25,61127.75157,S
97523.29608,31035.71635,221512206.5,460696839.6,2241695799,30722864.96,176919.2855,S
99615.10445,31438.75772,68322454.17,268228476.8,1224302779,13497614.19,1158867.018,S
102658.4228,6656.45702,109337854.6,471368444.8,1680405929,32862010.04,1175519.931,S
114162.6662,23921.7205,104388111.8,804773014.2,2114886856,25795295.55,2644025.576,S
98930.86555,16338.4651,72594036.46,294851315.4,1251451875,12998428.36,1608976.196,S
94077.51912,30384.71583,173064317.2,469648997,3868897338,33365982.91,2181598.916,S
77432.97231,7344.130242,137707921.5,151696061.1,3530546662,,1085995.3,S
151580.1827,31615.81151,133944245.7,928428831.2,2376704313,58558765.34,1617020.761,S
435526.3803,125906.0679,,145351182.6,9219701884,34561120.12,433852.9433,S
,207528.9005,,51760080.82,,,2114978.938,S
319026.623,52608.14997,104348147.4,246505703,2543432172,22432054.97,1845222.528,S
,,,2037622850,11256638749,8482763.355,,S
98210.50262,20480.80488,120909951.6,434576455.7,2886192786,25099080.43,1653664.042,S
161157.5557,35563.18604,105913114.6,252748978.2,1794521186,18941226.31,1678242.997,S
82908.93945,18563.59497,93573052.54,236314358.2,1495770503,12566207.42,1453254.61,S
,,196030456.2,963348138.7,,28762672.96,46603.24482,S
232664.8367,15543.62171,102786914.9,68107387.78,6610281953,,1942595.724,S
69918.89297,33043.96741,140639230.2,212983869.5,1502292137,33665713.68,1238943.387,S
100663.744,13645.23068,134297588.5,389292111,2448804705,41998228.67,1453768.418,S
51970.56248,5097.269991,195698067.2,349024360,934107578,44679754.29,1547218.394,S
115132.8878,30210.77414,214680569.8,822642104.3,4364375996,30016412.63,1065247.12,S
234072.2326,122604.204,,289751829.9,5626190177,7628713.754,649483.2266,S
146070.2734,29837.42606,138028661.5,368993602.4,1842282694,38573735.65,2285721.251,S
70095.10444,49043.09922,154453445.5,555249951.1,2416296918,24792074.84,818035.2155,S
91748.65522,13901.40527,113834620.7,770370969.9,1507021117,19739515.79,1406942.376,S
118428.2921,34862.06923,85250441.93,328020539.5,1853289227,21917336.84,1529244.832,S
267631.7883,60009.95563,109900234.3,489949838,4999749350,12568641.14,2247441.36,S
637052.7751,161971.5864,106289426.2,1372922890,11516111257,6273039.314,4738548.294,S
341387.2443,221672.7002,139142016.3,1105753316,8927864504,23947205.91,4378618.211,S
125023.2023,31374.15761,179432016.7,64817999.97,8723585.032,,1795091.224,S
172425.1861,34109.90493,148790728.1,507480906.8,3278962382,57615501.17,4905266.225,S
163666.1255,215397.0969,133524171.1,866292431.6,5148195942,22212750.24,1539090.482,S
246495.5294,68377.44106,73092160.33,1142504498,3483735102,6261530.048,910140.9883,S
152492.1527,32082.74928,77187845.47,412978641.2,2075685540,6541260.227,2848959.496,S
641755.5577,168375.9923,128668547.8,806170488,9175608626,9910184.086,,S
150809.9125,29247.83993,193127913.9,446949276.6,3211678663,26216134.58,120206.0387,S
154354.6375,12048.11591,350029688.3,7710630.171,4535709346,5502362.836,90621.11928,S
67357.43896,9051.610327,295322981.6,31203010.73,1384787415,8697169.077,186029.7724,S
94127.69299,28763.56055,107119511.1,642440558.1,2438262299,21467406.96,1155469.907,S
51708.90801,35708.42341,151859933.4,294214607.9,2351828024,30214625.91,931332.3202,S
