ESRP1,NOVA1,SRSF1,RNU12,RNU2,RNU4,RNU4ATAC,RNU6,RNU6ATAC,Clase
112106.7484,513656.519,34541.24355,233710.3779,466731024.7,2264143085,7204388.593,55554753.09,1360508.348,N
201199.4834,4321511.867,93053.26949,105592.2644,284002589.6,3015056587,3270279.628,53121443.55,2126907.541,N
271097.2693,474585.6521,101690.7643,160040.6329,19230180.67,3182239136,4853830.155,59686349.2,2527117.856,N
432390.2678,4847153.787,76904.21502,81668.90749,284664543.8,6317185130,4418433.08,92007737.99,3250306.963,N
82690.07642,503162.0204,23284.20254,79246.32966,444045005.1,1790326627,6282265.03,35299601.06,916302.6381,N
199858.9538,54544.90591,19588.52881,49345.2309,1530538161,3312791260,256323.8859,68036684.58,2716834.941,S
213007.7753,196061.7508,71084.75013,26705.99251,191489364.2,350479789.3,160548.9777,56207663.85,1534223.69,S
272020.2314,1624445.309,26537.37708,18840.08844,21101247.28,5177763757,181577.267,10113231.14,178045.2655,S
241312.9031,23182.52394,63783.1524,90225.8981,176815721.1,3060421455,1079864.14,46733159.68,1229686.972,S
169099.988,92330.26362,28597.31478,228840.9426,152321802.2,1625410898,1955041.501,59960250.7,2289585.46,S
59896.52964,113946.4636,13495.47031,165009.0564,209433892.2,832279872.3,1903436.92,52009813.07,1835222.12,S
189550.8687,147502.9385,12247.50604,64176.09711,191711168.6,721467358.1,409909.0563,72801920.58,2776081.712,S
168729.2942,104952.1242,48848.92644,,252205373.4,3484388034,307314.3411,40239283.68,783271.0634,S
531327.3624,22777525.55,108998.1763,51264.75778,585812466.5,4678117662,1970345.663,154703931.3,3524466.334,S
233418.1707,635205.9712,30207.13724,41056.81512,143158877.3,2153533403,803860.5796,67203529.5,744868.7213,S
,288317.5082,48168.70999,4632.593044,,,22732.88401,77712.64919,,S
233367.2904,235377.0981,10620.1163,12350.54777,2300347.863,5491438.377,53644.40419,2525016.758,36088.31491,S
74140.07797,258167.875,10947.97158,32958.03258,326910215.4,1213081165,319497.3901,65702907.64,2183657.82,S
118996.2174,748448.9535,12911.07553,30042.75498,104102791,1413801805,657922.42,49738159.04,1778316.731,S
79258.25325,75241.17184,26587.20624,78826.96219,255319025.7,1123238506,827088.559,31484323.48,1104889.374,S
58696.51345,74481.39129,10817.53154,47338.56104,195769376.5,1079319401,411442.9437,36436097.27,1901249.029,S
104521.6332,45864.7031,28161.95518,189100.5602,405966986.9,1326336915,3495630.293,77713088.22,1612018.063,S
181456.3018,215924.2768,47827.01363,69786.41876,738416601.5,772105122,1015095.653,91424525.44,3253037.268,S
,,,213982.2844,379513363.1,14248216.25,5148565.366,,,S
160631.9153,9241885.893,42502.11985,85148.82539,545677074,3290476978,,85194641.01,132974.7344,S
81629.87785,568104.1965,13610.14151,239448.1054,288655576.1,1297102619,,69292657.75,84099.46434,S
232722.7529,170976.7657,26585.62152,33708.13732,254505399,2384865826,431648.0763,83336316.39,2023660.435,S
97514.13677,840605.3347,12739.29459,26857.0253,224056192.2,1200647102,859101.8022,56260155.05,1538587.305,S
,8534362.641,,377252.4233,3499152683,,,133815360.5,67315.576,S
61611.31573,727986.4578,22869.45635,76305.37058,207935241.9,1144189133,,87033995.12,147584.0766,S
79525.83783,294805.0705,12240.86151,150958.6365,569854315.9,1832542213,2658486.438,74686894.41,2219517.843,S
65274.55156,159038.2144,26701.78571,140712.9961,318002590.5,797882923.3,1829201.867,82437186.46,3269257.158,S
101115.0365,69806.91415,29248.26414,11876.21819,384288406,1312067144,727993.7466,73091732.1,1973736.429,S
152934.4727,1101241.77,15396.8666,212525.9643,514538587.5,2100175283,5770353.906,102492997.7,3092575.174,S
104056.1302,1064861.827,89319.03545,226870.8063,421998739.3,2594151519,,126244744.7,169590.5147,S
46178.30752,84161.83488,11750.01008,267125.4169,238983505.4,803424009.1,3241349.734,49471529.61,730597.2797,S
159558.2014,444556.8075,42725.76493,163759.8475,590913954,2547786519,,126183727.7,277441.1529,S
194634.6794,862950.0583,59376.37192,19622.24361,355698855.8,3486748545,,44358417.39,40963.97767,S
