NOVA1,SRSF1,RNU4,RNU4ATAC,Clase
1.693744644,6.732703495,1.641545248,1.882137636,S
2.236755423,0.796141834,0.699852277,5.315494097,S
0.269451072,0.161954103,0.270857341,0.758254194,S
24.36285846,4.007859917,2.580420322,0.659194139,S
0.91215013,0.59837129,0.631563874,1.587130908,S
5.022255929,0.77364088,,0.057665898,S
0.084128568,0.152104828,0.000238557,0.201033567,S
0.468665843,0.337948196,0.524637139,1.177902037,S
0.887809519,0.128480384,0.448495932,4.210408196,S
0.62729444,5.279829268,0.692618477,0.714821021,S
1.509559262,2.072629043,1.047498782,1.054794443,S
0.642719716,2.150377718,1.404676399,1.271929925,S
1.599759143,1.738888802,0.572019048,0.652229186,S
,,0.005689399,2.173731321,S
1.17050227,0.714121357,0.736643358,,S
0.388790804,0.277732399,0.242948368,,S
0.678080337,1.108029016,3.439904938,0.479440664,S
4.88295009,0.57136597,0.877641467,3.585595294,S
4.140528838,7.65246062,6.690345659,,S
0.548537363,0.331507667,0.464549402,,S
1.008024226,0.354243831,0.793710169,1.65663989,S
0.699744039,1.298470227,0.49639885,2.277256615,S
0.247419395,12.82404564,1.567008053,2.419911622,S
0.57012683,0.638229264,0.880936124,1.577274798,S
2.504151388,2.041335322,1.539887685,,S
0.336542809,0.373920121,0.161126001,2.192149435,S
0.735629143,0.763296082,0.892031967,,S
0.403236953,0.175281811,0.202503438,,S
0.062511152,0.0196802,0.039616507,,S
0.558546905,0.391945442,0.415354627,0.92954702,S
1.540849559,0.416740209,0.73186034,0.518146212,S
1.079069787,1.204282405,0.47985659,,S
1.603625495,0.127338848,0.335049641,,S
0.93120326,0.533541712,1.001493104,2.391931656,S
1.267860414,2.204129484,1.270371025,0.573238291,S
0.9361755,0.772783404,1.082470597,2.213847154,S
2.127334316,1.235250261,0.961272756,0.728014092,S
0.563035318,0.708720739,0.844300829,2.765912886,S
11.4626765,1.726035189,1.045278521,0.814703236,S
2.48000349,1.273622376,0.778910997,0.945367866,S
1.836244107,0.075986295,0.173015314,2.690409319,S
20.67204782,1.245108617,,0.948452038,S
0.412525711,5.355112146,1.087643506,0.767338758,S
0.685814858,1.476199953,1.411740924,0.846059539,S
0.259801261,1.156051227,1.15539878,0.47386909,S
0.367038067,1.484194127,1.680642167,0.449294906,S
,0.01622187,2.592556038,0.379177939,S
0.311617681,0.05844993,0.315019334,,S
14.62748622,,,,S
3.444023455,0.519768896,0.983888034,0.562485957,S
10.77466813,8.263107645,1.952570305,1.368647104,S
0.234436572,0.629372456,0.454203897,1.785635051,S
20.61102822,2.040510988,0.078122663,2.197805343,S
0.647553065,0.701348001,0.445803439,1.510225391,S
1.230465733,1.54348058,0.57024748,1.629393906,S
0.146613535,0.947551379,1.066131762,0.82184571,S
2.683748471,1.055266859,0.706844149,0.929671323,S
0.184292352,0.092171326,0.082708833,0.955114115,S
0.078940025,0.339234088,0.609388494,7.129522264,S
,,0.124776705,4.923456988,S
1.629436317,0.587674378,1.228185587,0.92529914,S
0.242132215,0.634173821,0.753153805,0.207618979,S
0.246827444,0.433984336,0.754950456,0.831460649,S
0.434872043,0.244101302,0.23351053,,S
0.447555767,1.36027582,0.51267779,0.91463742,S
0.868909775,0.59535681,1.223794922,2.546317291,S
0.347220407,0.944688287,1.036860004,0.836951946,S
5.90999603,4.300024112,1.898859828,1.6929646,S
,0.896371457,1.28117076,1.779899128,S
2.844128703,0.436369126,0.697497818,1.8664956,S
0.756222705,1.847939266,2.744847094,0.591568812,S
12.77342687,2.548546702,1.533642913,6.268625049,S
17.32654135,3.028915629,1.029190098,4.644865282,S
0.253975881,0.549048883,0.914789107,4.937601544,S
1.899110448,,,7.421169222,S
0.319332401,1.174072084,0.783323477,1.377654386,S
0.978035116,0.595599827,0.934948577,0.662006671,S
0.152837197,0.701007316,,0.286832755,S
0.48620234,0.440748789,0.816882893,1.089038947,S
0.519577722,0.815863698,0.540507557,0.981025,S
0.090757567,0.236748146,0.346709102,11.4628897,S
0.846645184,0.302803967,0.15506904,1.175439886,S
2.328973977,1.90446003,1.668740761,2.32783141,S
8.036982471,5.352771762,0.966435752,2.561396268,S
0.429367337,0.534614563,3.138475753,,S
,,,2.408386492,S
0.658105095,1.234603025,1.105691962,1.810206717,S
,5.939234146,2.281042289,3.369040316,S
