CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4atac,U5,U6,U6atac,Class
461193.591,93.557,86833.876,210350.543,40385.373,4543.877,13076.612,564347.664,8044.291,64826.969,0.000,36312.544,0.000,14464.603,47819.859,71668.950,15334.474,311549.817,3547.960,0.000,45576.624,8.966,142411.560,90097.158,242890.813,83270.763,49297.665,0.000,1521062.861,1363.528,973999.806,5762.548,256275.040,66077.613,1519645827.134,152349642.185,8864.379,16381662.793,16692.759,7826.119,524452504.476,10573.213,2432131005.307,8586405.726,6663.937,TP1
1159757.246,0.000,0.000,3158218.799,0.000,0.000,0.000,9693.767,0.000,0.000,0.000,0.000,0.000,0.000,444815.366,0.000,0.000,108194.137,0.000,0.000,0.000,0.000,0.000,0.000,26117.557,52678.081,0.000,0.000,0.000,0.000,0.000,0.000,38588.083,0.000,4039018.089,14021.660,0.000,4283.951,137296.343,23295.800,93159.726,0.000,90699306.836,46244.822,0.000,TP1
175494.467,483.926,29184.686,183745.154,25478.495,954.107,8653.833,238089.990,16075.620,86296.863,4.432,29272.203,7348.040,6033.171,33491.092,57968.867,5676.868,213141.366,3184.579,98.578,74807.749,123.410,110206.628,123235.102,216709.547,100953.344,25750.768,797.982,954258.173,0.000,444121.753,12344.789,418480.745,26351.405,948350984.338,66415362.298,12034.378,48216541.568,16951.538,6080.910,502708461.578,8238.479,1290140712.776,20931412.969,12395.933,TP1
1080483.896,0.000,41531.871,827537.603,28999.413,0.000,30964.491,522145.013,12385.735,39860.072,0.000,105674.929,0.000,87484.677,0.000,213371.753,0.000,293393.394,637.420,80.663,146125.283,28.596,187413.476,302359.406,477962.766,178181.606,7845.758,6510.641,3215141.574,548.781,1009003.494,11276.633,791634.775,120674.321,4455812505.127,205293168.596,12983.638,46469009.466,101073.594,0.000,410154900.305,20564.617,4640865676.588,32055845.775,13526.157,TP1
17132.585,880.517,2331.158,11159.012,4643.683,5936.409,9983.361,133022.580,1244.843,12634.894,142.086,7932.246,1166.570,21194.289,10876.780,22420.357,10726.780,61251.346,1628.284,2056.285,31572.851,248.455,16516.382,22542.485,108022.661,83557.138,50658.121,5009.368,440584.506,170.071,146766.463,7739.119,121553.272,25268.687,178391616.155,12674058.636,858.417,2450517.096,11429.259,3325.167,61038877.386,3267.470,85707583.538,1683262.594,5501.905,TP1
392656.163,0.000,0.000,333744.756,0.000,0.000,3520.952,21474.326,0.000,0.000,7.228,5139.960,0.000,38449.634,0.000,23931.886,0.000,52732.909,0.000,4.696,13406.714,0.000,0.000,65368.281,0.000,11972.013,95486.657,0.000,94862.322,2158.653,119460.299,7195.944,37746.468,0.000,181958259.774,3596256.603,1069.654,12323929.152,36051.526,0.000,19254801.764,56098.160,137712449.502,3185049.615,67406.967,TP1
41500.310,0.000,797.803,73806.524,734.017,2756.475,4953.809,84970.573,2983.197,880.266,100.308,1933.640,2984.757,59967.532,3041.313,26540.332,2147.073,8403.598,2940.314,3.467,14020.989,176.074,4188.931,13805.551,77297.764,33369.408,99879.168,1347.757,104167.393,1749.456,163846.695,1995.871,83328.808,4080.644,138220764.017,10787970.673,832.969,3049114.128,38606.756,551.775,23689688.074,43149.006,72689503.633,3193987.284,126847.355,TP1
89733.924,0.000,2282.238,91394.709,9625.664,4579.575,7811.637,320893.206,2857.214,15753.842,335.459,5008.288,33.847,29272.483,4897.906,22944.239,9144.489,94564.354,5955.192,175.973,92046.811,1319.047,35627.224,49085.619,192268.253,38355.479,38031.360,6589.852,1071528.445,1846.919,245726.416,15034.099,125381.283,26298.562,557738839.553,22057358.579,4575.777,26253031.666,16606.124,4621.395,184302539.099,30910.960,330287702.531,4003360.264,36413.226,TP1
29683.444,0.000,1036.414,32509.197,511.882,461.208,643.561,37518.793,1309.593,7793.901,257.055,5035.458,0.000,29115.505,4922.928,23452.434,5916.579,28564.526,4516.193,116.756,26732.722,160.501,15260.072,22339.527,92451.122,46812.877,31190.438,1409.745,272419.145,10869.446,191989.554,4051.992,45827.963,2461.540,342749484.227,5243112.821,1559.895,54874524.388,17836.111,2716.086,61208724.934,25628.701,67638925.048,2836203.449,48253.740,TP1
50602.628,194.860,1751.899,31220.917,16437.937,7385.293,13832.765,63630.116,10497.984,33667.689,1187.722,9769.265,4353.671,9789.452,8083.914,25850.227,11959.162,84758.217,11944.971,817.706,63649.844,1916.265,26687.800,36791.567,160636.651,51667.588,25038.361,4765.064,456866.092,1680.569,151415.762,18301.466,179229.355,40285.990,310750327.398,14701152.579,5378.257,73329320.548,16403.750,4254.919,168172022.787,36506.036,248222499.676,7900547.281,14770.898,TP1
