Sample,CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4atac,U5,U6,U6atac,Class
T-PDAC_09,537362.764157311,1944.20053226715,211772.762386625,514268.577423977,350580.395542242,734263.21165324,94287.1942432892,138237.58191306,2478.30755408836,1241892.71299729,8735.5113027453,706620.99773988,473224.859307174,799573.757817461,422186.078019924,863427.402666973,96669.3007184146,1019063.97889836,212373.057258242,45271.0186333058,718416.958777369,103125.486744707,667632.342726303,419607.644503422,85.1718223153567,1576884.59124263,854062.182080302,495937.907424851,1868949.81510019,453070.63649523,977040.710572745,80505.9208497817,709457.22095178,316151.244700109,33452968.7531597,197342.531742854,36.3941149644788,960223.702723157,469098.392220286,627988.693506085,5243.70176415966,6753.58600044617,3256214.48411801,1673147.13687394,9653.09873381096,T
T-PDAC_14,2392846.44165341,1944.20053226715,167980.09976308,1327303.23344704,1421932.23416674,1799424.52662153,141646.61212893,113123.361166498,2478.30755408836,1399120.29565568,1061.27042729374,605513.729362929,514881.019201276,632748.002798756,790964.196536339,1417109.95705895,59896.3807375063,1747005.0488929,248310.814164831,903664.549915357,1246494.86634095,353166.033451139,441001.687316873,2347542.98957554,500.401244899752,910076.577144727,2023767.19723781,475769.945250392,3942233.23395677,101540.729615665,747670.120128336,295378.773963952,1506561.80980272,892305.164571452,215614685.946736,4379096.09355194,26.5022909859299,3717508.70843057,670135.769881725,548291.349183053,5362865.00356808,4251.79070287313,4028542.18302484,2258398.89383143,39697.1737078952,T
T-PDAC_15,1244023.9876928,2385.97065121557,525580.252515884,668424.71854786,505063.817684057,1124609.6423638,104892.704183854,419402.377831069,3938.40315436493,1812099.03664582,4318.77728318187,831700.740668609,487065.782710318,1004031.91538702,1255629.36420011,1429717.91362084,83592.9086567936,2884072.24038454,487683.177742695,361284.948941259,1851380.12628979,160596.74051938,1084603.98672292,1071437.64500556,235.217033431102,1544167.17574411,3468012.46421975,925490.648075373,4674810.09190622,221031.219209558,2048402.39137005,473697.196992072,1670186.32444447,1230985.26279123,1230793537.30368,6499604.62643715,120.727843555096,71578523.0380029,962348.890121506,778054.361655472,445182632.514148,11480.2554574262,120009063.73952,10944456.1278498,55156.1388298716,T
T-PDAC_17,470021.138003823,1944.20053226715,101341.088890722,245843.395172172,149774.755821337,516752.646794721,78732.2130664123,275224.021323428,2478.30755408836,437193.335557628,2353.50578097248,251504.941088092,133797.284731536,351368.149320037,372078.349452665,368463.919556846,87339.9948101573,980650.195436274,141210.233834307,237670.069078503,724740.918600935,224185.69175852,278242.313944872,195542.259570413,37.2674669983849,1102344.28126148,1060587.58357353,354364.862339698,1931157.7344641,67856.8680898157,1228134.74857199,162685.808864949,645137.108704989,678634.504669176,218011505.274111,2153235.09710835,185.858900718803,13382456.6945396,163026.580172413,172195.615130583,39561006.1715247,5595.6448066482,18195001.9440611,4256717.74382511,24499.2433350617,T
T-PDAC_19,1005465.79141416,2651.30075585429,238211.394837418,570721.138410696,400176.371927454,1228854.85128218,97395.333400149,197924.052958576,347.63724624664,1515722.84643228,3723.96048078989,700189.31546519,231688.320261644,735983.757714564,577365.044105931,761949.467597813,92400.3073197982,1152272.77901221,222444.270091485,487040.816837094,1467111.89935163,210082.617833389,422498.435772207,577570.031297947,44.7006523882403,1405839.29570038,1672604.33893231,487048.379506772,2494878.35399333,131500.462922972,1304554.64292019,234240.379899051,1135143.24099269,1282762.0973284,35904284.8288433,651388.633860912,1.93513463895362,3632886.22727525,404969.078415449,231129.692753374,1414690.05933809,5391.42333274731,4878204.19016965,3380139.92346502,20602.3366335127,T
T-PDAC_21,488794.123655953,354.402613178802,92072.9803408641,483033.792716926,194048.251673625,828438.028188456,66347.8276508806,96622.9474597938,2478.30755408836,815712.072262246,1261.53430065313,331484.342744008,105098.404001698,397525.348379192,309747.803733735,432772.01241021,34824.3075491341,794120.339979164,134737.556897366,278117.88281925,1141718.51247584,181414.693189831,191845.517185609,470994.161497856,8.43549111828018,761483.175157245,870685.051502577,356728.519647943,900326.820201466,85777.202442942,834910.719634132,179335.005270483,614995.293462813,579632.394688197,179758677.279199,1998170.99058586,3686.40527723453,9159742.18469354,230815.405508396,144382.603734028,451563.049641258,5067.27630062927,9967150.20540462,5166756.78833742,23681.5142156571,T
T-PDAC_23,484180.129133467,499.077535863523,276238.238344727,221728.922153818,23644.3939229298,446075.343456973,30076.2732919953,209255.881654222,2478.30755408836,1504945.69973886,875.446703874106,486209.221644647,333341.932458404,813139.73520311,705299.279705352,1380108.35513501,109331.77631984,1151259.66186306,145773.613257679,3012.68311889356,353775.243646908,27065.8008485137,645552.639303377,491689.041561997,85.1718223153567,1314280.06604826,760502.987499248,537505.705792701,1918386.45391589,331411.700036789,1043339.38447808,34990.4640253243,691385.815000764,235617.159245109,265429177.384345,618559.74036775,53.8507843571902,2062982.0555826,406345.633407837,755438.227333362,36335.5317527272,4854.61516562864,5034687.80005837,4384798.96716228,24352.3556824878,T
T-PDAC_24,2612376.55519477,1944.20053226715,371808.816137622,1539496.47118751,259692.438235051,1669669.99125305,85112.9662992626,101465.153434223,2478.30755408836,963555.361969746,665.509212271311,492486.456350456,49901.2121279428,772564.441948893,838255.962853027,1069122.60850171,106638.551044273,1094126.42327528,224483.953480643,465736.47292974,2697049.5671543,279920.791594019,576970.847189421,1799880.527366,262.75549266307,2033354.52378545,1860866.53593384,419209.882776449,3053857.85487222,72635.9287718682,1877759.91911967,192352.783235709,2711246.28617588,1079019.06229822,412707838.626992,14741256.9223656,4873.81913134633,13309055.9397017,675438.626418244,163156.218142394,803303.984430932,6411.55877452398,80196663.6622141,7441519.17721023,66181.2746957922,T
T-PDAC_25,1213362.84892388,8740.31782597301,367680.919981676,680376.606373544,551864.561126404,1774258.08500702,133289.407693643,476489.784216518,4376.85952307422,2722299.08151977,2568.04174420377,1028564.77889759,595947.083954923,953032.886614973,1261092.70302258,1093069.35740573,113536.36278152,2182702.62936442,384250.74663429,707742.927106919,2589852.19284236,587297.854947012,655563.430931666,1417438.0516676,77.0237825193404,1951881.36506813,2830065.1166309,847276.859673592,3565579.17019983,254797.793098647,1624696.38433334,473268.639743794,2107514.1168298,1642796.49041385,149493410.516594,994263.373020197,190.861372942777,7186948.18330026,897064.703821324,628503.761224952,8076329.96839273,4375.7754016494,5695608.81539753,4788086.18795771,28046.0579455838,T
T-PDAC_29,609139.319384888,1944.20053226715,234994.969309067,616482.631718272,204918.443988901,1107434.78783443,278168.424400215,9926.63149149963,81.208511580785,743308.916004079,3226.29371015895,462991.785556808,285122.467632898,417700.161138848,709228.945867566,856810.626790184,139652.230093323,1741342.10400119,344312.32647912,722872.141865334,1335347.69608944,286905.99549112,595288.817899385,459199.894682533,16.8478189385218,1670743.80046946,1811990.44014523,536464.549444635,1446800.01018056,229988.400743247,980484.526169877,393555.822583596,833849.837149239,1364230.28306302,39855744.0493675,698221.950085159,195.301115671529,8764109.11921094,268004.961902557,325345.635248391,4217976.60777547,5171.17996058849,5427262.52579507,4035070.46283815,28213.9820550575,T
