NPDAC02	NPDAC04	NPDAC06	NPDAC09	NPDAC10	NPDAC13	NPDAC14	NPDAC15	NPDAC16	NPDAC17	NPDAC18	NPDAC19	NPDAC21	NPDAC22	NPDAC24	NPDAC25	NPDAC28	NPDAC29	NPDAC30	TPDAC02	TPDAC04	TPDAC06	TPDAC09	TPDAC10	TPDAC13	TPDAC14	TPDAC15	TPDAC16	TPDAC17	TPDAC18	TPDAC19	TPDAC21	TPDAC22	TPDAC24	TPDAC25	TPDAC28	TPDAC29	TPDAC30
PSF	 9264.7400	 7341.9210	  506.0157	 3959.5036	 7593.6644	 7023.3761	 1396.5703	 3749.9069	 4318.9133	 7373.6036	 6837.6578	 7209.0945	 1322.8635	 6650.4049	15336.3823	24267.7123	  724.0869	 7023.3761	18882.9221	 1713.0705	16698.0168	 3723.9605	 8735.5113	74482.2126	 6597.3108	 1061.2704	 4318.7773	11041.7360	 2353.5058	14869.4074	 3723.9605	 1261.5343	 3945.7848	  665.5092	 2568.0417	 6153.5234	 3226.2937	 3159.2377
PTB	 412816.3	1054672.4	 466552.2	 659741.0	 232818.4	 947933.5	 597392.1	 648593.3	 413588.5	1361784.1	 762982.7	 740946.4	 844539.5	 193767.9	 631306.2	1084639.2	 740946.4	 786630.7	1017719.0	 484375.5	 972434.6	 284760.5	 706621.0	 164586.1	1045032.1	 605513.7	 831700.7	 911975.6	 251504.9	 902426.7	 700189.3	 331484.3	 708582.8	 492486.5	1028564.8	 871351.8	 462991.8	 848212.1
RAVER1	281188.96	247928.79	169260.76	187652.46	 84837.18	267867.38	980731.15	364446.31	173712.03	453455.74	454294.49	212292.80	455276.24	180582.12	 40093.62	 76929.03	267867.38	420447.97	408446.28	228037.13	465871.01	119685.49	473224.86	 90220.48	204888.08	514881.02	487065.78	318039.75	133797.28	400092.56	231688.32	105098.40	285685.67	 49901.21	595947.08	434079.53	285122.47	290240.71
RBM17	 753705.6	1629118.7	1572395.3	1625882.8	3133567.4	7684859.7	1876708.8	 674999.3	1656105.0	1477468.7	 920448.9	 936769.0	1499398.8	2045247.2	3463681.4	2395463.4	 604840.5	1424552.9	 662116.4	 851644.8	1176029.8	 367366.5	 799573.8	3678432.7	1674619.2	 632748.0	1004031.9	 876632.7	 351368.1	1005167.4	 735983.8	 397525.3	 646250.8	 772564.4	 953032.9	 998534.4	 417700.2	 377809.9
RBM22	 554898.0	1475770.0	1239132.4	1815417.7	 439289.3	 902931.8	1570294.9	 951124.3	1172700.9	1805144.2	1211257.7	 876421.2	 833386.0	1329515.5	2693798.1	2080875.2	1239132.4	1441483.5	 953826.3	 847086.6	1300245.5	 535907.6	 422186.1	 476385.1	1315354.2	 790964.2	1255629.4	1551135.3	 372078.3	1238037.6	 577365.0	 309747.8	 832749.5	 838256.0	1261092.7	1312563.0	 709228.9	1047885.2
RBM3	1075710.0	2533757.8	1615874.1	2471911.8	2046957.7	5513614.2	2043934.9	1334466.1	2108740.4	1124958.5	1331418.7	1259757.2	2476273.2	2095693.9	5650888.7	4282055.7	 227098.7	2460778.1	1585608.6	1172262.6	1599253.4	1084928.4	 863427.4	1852420.6	2438299.0	1417110.0	1429717.9	1589883.9	 368463.9	1093918.6	 761949.5	 432772.0	 947128.0	1069122.6	1093069.4	 963017.4	 856810.6	 897159.8
RBM45	 47486.93	133714.45	171159.79	210520.64	 59749.99	527273.71	 16144.43	 74682.92	301953.21	220166.12	133321.54	118970.56	 61490.05	427909.18	211133.27	262901.63	210520.64	345497.28	244419.16	128692.61	206908.46	 59105.83	 96669.30	156595.88	181044.85	 59896.38	 83592.91	224437.82	 87339.99	152764.46	 92400.31	 34824.31	146438.61	106638.55	113536.36	163230.92	139652.23	 83063.31
SAM68TV1	1184514.9	2735801.8	2121876.4	2544941.0	 852033.1	2860638.6	2550380.3	1858079.9	3353262.2	2602352.8	2103857.4	1964053.7	2257719.6	 890803.3	2757377.5	2678369.9	 146141.6	2413934.5	2761202.1	1580675.4	2682010.9	 790550.0	1019064.0	 978658.3	3094738.5	1747005.0	2884072.2	3467604.1	 980650.2	1717480.9	1152272.8	 794120.3	2281456.6	1094126.4	2182702.6	2961325.3	1741342.1	1824291.7
SC35	 338522.42	 475760.71	 303915.79	 257430.53	  78689.98	 507374.65	 299094.40	 351633.76	 522131.99	 491917.99	 327533.37	 344568.02	 474536.05	 490308.78	1155594.93	 499785.19	 469738.08	 469738.08	 742776.19	 448721.08	 401971.48	 298676.91	 212373.06	 143857.55	 455076.06	 248310.81	 487683.18	 372333.44	 141210.23	 446737.53	 222444.27	 134737.56	 271663.19	 224483.95	 384250.75	 200290.79	 344312.33	 311015.36
SF3BTV1	 125250.95	 642817.83	 544595.84	 577668.70	  75143.22	 364200.39	 409763.18	 513047.33	 842275.99	1414314.26	 543588.30	 695964.02	 392150.80	 522850.64	 508032.95	 554530.36	 543588.30	 595242.12	 621485.84	 534946.33	 884760.65	 235516.81	  45271.02	 260079.29	1162608.93	 903664.55	 361284.95	 966631.54	 237670.07	 603736.49	 487040.82	 278117.88	 343342.54	 465736.47	 707742.93	 390630.28	 722872.14	 585771.80
SF3BTV2	  889789.5	 3266728.8	 3356576.9	 4508742.0	  878502.0	13523735.0	 2694412.2	 2302574.6	 6004000.5	 3434271.1	 2711582.3	 2944243.8	 2868012.2	23918810.9	10705846.4	16797687.4	  222190.3	 4777614.3	 1583647.5	 2022873.9	 2901326.8	  713253.7	  718417.0	 1773415.1	 4034025.9	 1246494.9	 1851380.1	 2800282.5	  724740.9	 2695320.4	 1467111.9	 1141718.5	 1380378.4	 2697049.6	 2589852.2	 2883923.2	 1335347.7	 1436832.7
SKIP	 117325.7	1221381.2	1094464.3	 873661.1	 109534.9	1144815.1	 987429.6	 296132.4	 431274.6	 901405.9	 435912.9	 669251.0	 713383.2	 490896.2	1217757.5	 851315.1	1101934.8	 514696.3	 316956.7	 544796.2	 768063.0	 262045.4	 103125.5	 500255.4	1022343.4	 353166.0	 160596.7	 405265.8	 224185.7	 448121.2	 210082.6	 181414.7	 267895.0	 279920.8	 587297.9	 507782.8	 286906.0	 275995.7
SND1	 519164.7	2295896.3	1248281.4	 995355.5	 789326.9	4961120.8	1325951.7	 696159.1	1629797.9	 739078.9	 839228.4	 801051.2	1593596.7	1473615.0	1846114.1	2283566.0	3573363.7	3097770.6	1103160.1	 326025.3	 770871.9	 600099.3	 667632.3	 937600.7	 844166.2	 441001.7	1084604.0	 861893.7	 278242.3	 655842.2	 422498.4	 191845.5	 715385.4	 576970.8	 655563.4	1236004.9	 595288.8	 539267.2
SRM160	  323792.3	 3193839.2	 2150816.8	 2568273.0	  785927.3	15039964.4	 4414105.3	  776985.8	 2218717.7	 1644222.9	 1722890.8	 1074643.8	 3920734.1	 6404711.2	 7926443.3	 7115204.3	58025303.9	 1872296.4	  714731.0	 1055759.8	 1490373.9	 1906462.3	  419607.6	 1074893.5	 2736268.0	 2347543.0	 1071437.6	 1180457.1	  195542.3	 1160685.1	  577570.0	  470994.2	  517658.7	 1799880.5	 1417438.1	 1454086.8	  459199.9	  645703.0
SRSF1	  718.581053	 2224.198217	 1240.821129	  508.307124	13579.611380	 6606.272134	 2033.878929	   27.987956	 4137.853380	  123.902206	  101.292022	  214.509753	 4330.036674	 3968.705318	 4961.648225	 2025.871152	51740.326700	 1755.035479	   30.243036	  104.514048	   37.481208	   85.171822	   85.171822	23242.253062	  213.840776	  500.401245	  235.217033	   48.299530	   37.267467	  433.046374	   44.700652	    8.435491	   85.171822	  262.755493	   77.023783	  122.024937	   16.847819	    6.971161
SRSF10	1245059.2	2312998.5	2028040.8	2362167.0	2089608.3	1307496.6	 722727.5	1287529.7	2497464.7	3261104.6	2383555.6	1764645.0	1709836.9	2440317.7	1990173.7	3133235.2	 905185.7	3750409.3	1364269.3	2679679.4	2484690.7	1231117.5	1576884.6	3215897.3	2496762.0	 910076.6	1544167.2	1932136.8	1102344.3	1664227.8	1405839.3	 761483.2	1668205.8	2033354.5	1951881.4	1434293.7	1670743.8	1211152.9
SRSF3	 1140495.8	 3222143.4	 2600876.9	 3806721.5	 5778075.6	14416160.7	 4013430.2	 3061490.8	 4721559.6	 5627516.2	 3389363.5	 2377010.4	 3872813.2	 4261035.6	 7832071.8	 8357073.7	 3077074.5	 4691617.1	 2708545.4	 1948306.3	 3291466.7	 1155392.6	  854062.2	 7596471.8	 2852304.7	 2023767.2	 3468012.5	 3410373.3	 1060587.6	 2351578.4	 1672604.3	  870685.1	 1950037.2	 1860866.5	 2830065.1	 2564189.1	 1811990.4	 2171209.2
SRSF4	 487607.0	1050911.2	1095768.5	1016853.5	 270590.1	9469254.8	1992507.6	 626980.0	1824914.8	1955780.2	 979347.9	 774174.2	 874665.4	 802128.7	1628559.9	2941525.5	 106178.5	1468621.8	1069367.7	 680489.0	1070374.0	 570762.9	 495937.9	 384273.2	1536541.4	 475769.9	 925490.6	1533977.9	 354364.9	 941941.6	 487048.4	 356728.5	 546351.2	 419209.9	 847276.9	1128388.9	 536464.5	 486875.0
SRSF5	 2676657.1	 5416899.0	 6459126.1	 6573024.0	 1664917.2	27325711.9	 7745605.7	 3062519.6	12516143.1	 4873390.3	 5094277.4	 2019134.2	 7408020.1	11524062.4	13973214.4	21735564.5	  853125.3	 7021084.0	 3516901.6	 4215770.8	 6814665.8	 1974583.0	 1868949.8	 2443155.9	10690784.7	 3942233.2	 4674810.1	 4203363.0	 1931157.7	 4708587.1	 2494878.4	  900326.8	 2332002.0	 3053857.9	 3565579.2	 5724031.3	 1446800.0	 1087929.8
SRSF6	316194.72	198933.75	177514.33	359649.24	120305.46	271479.40	266108.45	151737.45	459631.12	132010.91	392308.25	158149.89	305148.63	221911.30	318529.07	887577.14	271479.40	469386.80	352404.76	106913.09	175359.63	109579.04	453070.64	126431.74	157704.20	101540.73	221031.22	315691.34	 67856.87	440742.28	131500.46	 85777.20	294143.69	 72635.93	254797.79	253544.42	229988.40	128243.44
SRSF9	 865240.3	2652598.5	1561047.9	1732429.1	 855618.7	1532560.0	1469232.4	1436343.4	1985279.5	1605385.6	1643498.4	1672801.7	1748299.8	4572948.4	2324894.0	6523218.7	 575152.0	4466359.8	1847156.4	1335937.5	1620857.2	 674639.4	 977040.7	1681995.7	1595832.8	 747670.1	2048402.4	1880513.5	1228134.7	1126816.6	1304554.6	 834910.7	1457598.8	1877759.9	1624696.4	2297707.9	 980484.5	 838549.8
TIA1	  55779.40	 571670.25	 709428.56	 498174.91	 290710.93	1626987.61	 535715.55	 449898.36	 925235.75	 576143.16	 564352.63	 382203.19	 502028.21	 914828.11	1110818.01	1568120.39	1903197.94	 983400.87	 579500.83	 210479.48	 755853.13	 229593.31	  80505.92	 277517.19	 471565.37	 295378.77	 473697.20	 910437.02	 162685.81	 611581.90	 234240.38	 179335.01	 381703.71	 192352.78	 473268.64	 848269.43	 393555.82	 243095.53
TRA2A	  796075.7	 4795755.8	 3940501.5	 4397532.6	 1153211.1	14485184.1	 2982899.2	 1559617.2	 7881318.2	 2145122.7	 2261229.1	 1444632.4	 4710841.2	 7073530.6	11205128.7	10976758.2	 1013773.6	 3700770.6	 1076291.6	 2829430.4	 3868026.2	  619102.4	  709457.2	 2055909.4	 5970922.8	 1506561.8	 1670186.3	 1578413.0	  645137.1	 1732887.3	 1135143.2	  614995.3	 1218507.8	 2711246.3	 2107514.1	 2375529.8	  833849.8	  497366.4
TRA2B	 462172.2	2440118.1	1902185.4	1334359.0	 753951.6	3705208.0	1492703.7	1452241.0	2663694.5	2939017.4	2226723.3	1557215.4	1466740.5	2121336.8	2777216.9	2858072.2	2122440.5	2319866.4	2122440.5	1370232.8	2829690.1	 330797.6	 316151.2	 996253.0	2373924.5	 892305.2	1230985.3	1360663.9	 678634.5	2011629.3	1282762.1	 579632.4	1226129.4	1079019.1	1642796.5	1203402.0	1364230.3	 740575.3
U1	  113556141	  575086155	  437571010	  591495812	  436050257	 2320379754	 2717439584	  435233876	 4203575536	  249825161	  192442011	  158259608	 3237517418	 9978746663	 2806255218	19782038347	   34907878	 3193269305	   48246611	  209618713	  165436280	 8642565348	   33452969	  896770359	 1810132290	  215614686	 1230793537	  392916745	  218011505	  125492290	   35904285	  179758677	  109727855	  412707839	  149493411	  330035545	   39855744	   28929684
U11	   816037.2	  6768192.8	  3295136.9	  3337987.8	 15212329.3	 76474679.5	  8647214.8	  5339661.6	 15795902.0	  8879056.8	  2113107.7	  1668960.0	  7440277.9	 22078547.9	 32348171.2	 46725548.9	  1494575.2	  8150848.1	  1319792.7	  5007749.2	  2938006.7	205540109.8	   197342.5	 17644012.1	  5400887.9	  4379096.1	  6499604.6	  4160041.2	  2153235.1	  2729484.2	   651388.6	  1998171.0	   657702.8	 14741256.9	   994263.4	  1176866.9	   698222.0	  1826108.1
U12	1.290662e+03	6.371634e+03	8.519320e+03	1.810149e+03	9.101681e+03	3.541536e+02	1.591343e+03	6.147624e+02	5.264369e+04	9.307303e+03	1.103447e+02	2.171792e+01	3.540135e+04	2.813166e+04	7.311529e+02	1.349815e+04	3.783425e+05	8.484400e+03	9.573411e+02	1.149288e+04	1.167780e+03	1.239669e+02	3.639411e+01	1.887394e+04	5.581842e+03	2.650229e+01	1.207278e+02	3.259454e+03	1.858589e+02	1.125714e+03	1.935135e+00	3.686405e+03	1.508250e+02	4.873819e+03	1.908614e+02	7.389269e+02	1.953011e+02	9.112442e+01
U2	  2971963.3	 17145024.8	  8036145.4	  9839449.7	 18813062.2	 18382851.9	 41539287.4	 47807512.4	118384895.7	 33966320.2	 10717946.1	 12814398.8	 67830964.2	146140439.5	 45133252.4	252669320.7	 10372854.0	150831374.8	  9288944.9	  6405607.9	  9820823.2	  3556265.3	   960223.7	 50582208.2	 31571475.0	  3717508.7	 71578523.0	 48263975.5	 13382456.7	 12882180.3	  3632886.2	  9159742.2	  5432284.8	 13309055.9	  7186948.2	 21688834.5	  8764109.1	  5519998.3
U2AF1	  572350.4	 1904232.4	 1301651.5	 1511741.2	 3988013.6	 6746293.7	 1284317.5	  550377.8	 1797799.9	  681356.5	  743001.7	  748826.7	 1475379.6	 4146784.7	 4353370.0	 4073726.0	23753366.4	 1471380.5	  968367.6	  505015.1	  732584.1	 1202368.9	  469098.4	 3296685.3	 1217641.7	  670135.8	  962348.9	  584782.0	  163026.6	  473127.1	  404969.1	  230815.4	  425855.8	  675438.6	  897064.7	  723204.2	  268005.0	  198884.8
U2AF2	 458715.52	 346368.12	 167760.76	 234171.77	  72937.41	1081393.04	 546932.89	 447810.22	 489693.64	 369252.23	 236074.49	 170950.42	 345013.21	 315322.50	 289081.43	 933808.80	  74429.85	 364210.69	 598226.40	 174196.22	 399930.54	 256933.30	 627988.69	  97405.69	 267593.81	 548291.35	 778054.36	 525578.34	 172195.62	 250660.07	 231129.69	 144382.60	 387077.84	 163156.22	 628503.76	 868792.04	 325345.64	 393503.59
U4	3.114689e+05	1.045096e+06	7.031725e+05	1.180527e+06	4.712831e+06	4.768837e+06	1.849870e+07	6.813222e+07	1.037011e+09	8.595178e+06	3.853793e+06	4.113630e+06	6.745112e+07	2.626859e+08	3.395877e+06	1.098763e+09	3.809169e+05	1.006895e+08	6.816768e+07	1.563742e+06	1.158154e+06	2.954522e+06	5.243702e+03	6.934490e+06	2.513737e+06	5.362865e+06	4.451826e+08	1.449998e+08	3.956101e+07	1.724277e+06	1.414690e+06	4.515630e+05	1.655388e+06	8.033040e+05	8.076330e+06	1.854838e+07	4.217977e+06	6.538546e+06
U4atac	  25063.103	  45544.378	   6523.142	   7500.165	1187390.610	  33634.744	  10445.881	  27903.402	 172502.234	 255680.868	  12005.776	  13529.462	  29128.891	  30478.904	  50404.196	  84231.327	 174526.802	 176886.515	  28448.195	   2818.634	  50067.685	   6411.559	   6753.586	1005799.842	  31176.920	   4251.791	  11480.255	  57872.137	   5595.645	  13508.141	   5391.423	   5067.276	   7294.371	   6411.559	   4375.775	  13410.663	   5171.180	   2528.677
U5	  30561669	  30113698	  18208213	  18038707	  29331466	  72307622	  37884747	  83149837	 334969356	  32878739	   7769741	  19783849	  48439591	1101458319	 142979781	 547754724	   2549804	 374043375	  13639533	 103886760	   9472803	 803331547	   3256214	  70212959	  32048763	   4028542	 120009064	  53305883	  18195002	  13158118	   4878204	   9967150	   7626800	  80196664	   5695609	   6130985	   5427263	   5332420
U6	  6198902	 23787868	  9712173	 13366252	103402850	 18582147	  9799791	 10648205	 31647411	 12727883	  5882132	  9639084	 11634463	 52638242	 61580286	107367751	 33852726	 63339183	  3897293	  5254621	  7061060	  6160901	  1673147	147348928	  9686877	  2258399	 10944456	 10080631	  4256718	 10771068	  3380140	  5166757	  3475388	  7441519	  4788086	  4365471	  4035070	  2667338
U6atac	  33036.519	 174555.903	  49565.376	  36161.853	7722137.625	 215936.707	  36559.323	  66967.744	 455906.373	 120887.270	  51202.870	 191381.339	 112815.107	 767559.172	 735092.577	 250727.038	1617301.611	 469606.621	  36342.573	  49816.997	  54328.086	  51764.935	   9653.099	8407807.395	  85339.305	  39697.174	  55156.139	  82962.355	  24499.243	  52333.189	  20602.337	  23681.514	  21567.007	  66181.275	  28046.058	  45697.606	  28213.982	  21437.860
