Sample,CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4atac,U5,U6,U6atac,Class
NPDAC18,1439574.69043099,23195.9339064432,298954.466534625,615271.535192012,144957.931188667,1703392.68280662,363333.645153888,1266229.77213698,15329.9446497353,3556789.81556752,6837.65775911094,762982.657399857,454294.48609939,920448.866980404,1211257.65586863,1331418.71692036,133321.53996248,2103857.38095984,327533.365006917,543588.299530799,2711582.30691809,435912.858481934,839228.360066246,1722890.78777755,101.29202219505,2383555.61582607,3389363.4742082,979347.891767301,5094277.40529674,392308.250306236,1643498.40012907,564352.631563445,2261229.13580233,2226723.28600417,192442010.995855,2113107.7418954,110.344679110527,10717946.1090074,743001.743904523,236074.485115742,3853792.52506731,12005.7757167219,7769740.64314271,5882132.09214172,51202.8704648838,N
NPDAC19,1174348.44548176,3501.04863668342,253709.876922339,562286.097821141,274289.53709487,1669986.81613802,362803.832913637,221193.097194836,13813.4907558678,1808170.17691794,7209.0945204781,740946.436054957,212292.799552548,936769.016560091,876421.245953437,1259757.18817518,118970.562498623,1964053.70145844,344568.023701641,695964.015583844,2944243.83083612,669250.973914056,801051.203525233,1074643.80030491,214.509753194534,1764644.96455343,2377010.3750537,774174.223439372,2019134.22737949,158149.88592277,1672801.6823202,382203.188530637,1444632.37880191,1557215.43440454,158259607.837876,1668960.02144853,21.717916274641,12814398.8137188,748826.73789019,170950.421020003,4113629.53138433,13529.4617759255,19783848.7556203,9639084.10701783,191381.339030765,N
NPDAC21,7457191.86601784,11822.2563665368,113510.363477362,3702339.1412763,343674.894271506,1012131.44305227,139561.855409951,1220797.39854373,13813.4907558678,1955658.38862937,1322.86352732091,844539.454066117,455276.242865367,1499398.75938604,833385.953636586,2476273.20658234,61490.0499429437,2257719.55103828,474536.05281397,392150.801843065,2868012.17129127,713383.22757382,1593596.71165549,3920734.09622062,4330.03667373697,1709836.92100693,3872813.2058101,874665.352944509,7408020.06027995,305148.634722455,1748299.8267393,502028.21405998,4710841.21620269,1466740.45028815,3237517417.53879,7440277.8952043,35401.346862539,67830964.2290294,1475379.58303841,345013.212915578,67451120.9936977,29128.8914563638,48439591.2962506,11634463.2946255,112815.106876479,N
NPDAC22,13229023.4205783,11822.2563665368,473008.428903382,9759924.02042865,271374.496130895,749937.654225659,130584.126564313,1117453.66229402,13813.4907558678,2611229.06359806,6650.40490199731,193767.894249299,180582.120775178,2045247.19744338,1329515.45265865,2095693.88148919,427909.17814944,890803.306325451,490308.781050858,522850.641043818,23918810.8885395,490896.185839861,1473614.9721512,6404711.22008783,3968.70531796276,2440317.74050898,4261035.57585149,802128.71445638,11524062.4240152,221911.303399131,4572948.40310602,914828.108414894,7073530.63277511,2121336.77612056,9978746662.69897,22078547.8927199,28131.6639970212,146140439.533018,4146784.71633401,315322.496004144,262685881.064825,30478.9039922398,1101458319.01514,52638241.8932348,767559.17197882,N
NPDAC24,15570193.485565,22732.4556109285,880464.28118616,7602086.57334984,672328.926536654,3328646.66928013,663998.265701238,995540.67701095,66934.1182328218,3967989.61427113,15336.382276349,631306.247729352,40093.6228659692,3463681.40803214,2693798.08126851,5650888.7042346,211133.270776262,2757377.51971965,1155594.92829727,508032.95116246,10705846.3997297,1217757.45176244,1846114.10124578,7926443.33841177,4961.64822520992,1990173.65210878,7832071.80223342,1628559.9033036,13973214.3844812,318529.065722484,2324893.98472227,1110818.01226435,11205128.6798866,2777216.87670894,2806255218.09057,32348171.2231457,731.152948976227,45133252.4360583,4353370.01981148,289081.428696542,3395876.59761059,50404.1963235609,142979780.59841,61580286.2083145,735092.577370199,N
NPDAC25,13723997.2204034,11822.2563665368,543093.439397841,11034982.7538381,376234.241487733,1847139.72730074,384834.472716816,1489409.26934826,13813.4907558678,2703807.20906291,24267.7122996949,1084639.16124327,76929.0342829401,2395463.44627498,2080875.15911419,4282055.74244142,262901.626408629,2678369.85642799,499785.193039655,554530.363988984,16797687.3757754,851315.050938799,2283565.96131617,7115204.30645507,2025.87115165835,3133235.168778,8357073.73506736,2941525.51056328,21735564.4903365,887577.14114009,6523218.72451492,1568120.39235678,10976758.2024166,2858072.16697562,19782038347.0012,46725548.856393,13498.1537258194,252669320.697969,4073725.98326013,933808.79554397,1098763333.25809,84231.3266990788,547754723.686812,107367751.253085,250727.037907774,N
NPDAC28,114266485.182791,11822.2563665368,1551685.17742175,55527823.3055762,376234.241487733,1669986.81613802,274727.506383294,4078870.29642151,94571.6908534201,2576692.6152112,724.086884361281,740946.436054957,267867.376086326,604840.463445725,1239132.41878269,227098.683180646,210520.639486969,146141.594065023,469738.084525665,543588.299530799,222190.340141851,1101934.75149772,3573363.67446094,58025303.9129348,51740.3266999756,905185.739724204,3077074.46926901,106178.529062168,853125.288705343,271479.404556577,575151.972537213,1903197.94359349,1013773.64539434,2122440.45175227,34907878.0515537,1494575.23512063,378342.547426363,10372853.9660529,23753366.4478229,74429.8540826179,380916.881012923,174526.801860837,2549804.36332969,33852726.4652122,1617301.61121454,N
NPDAC29,3792899.61412796,16372.9482933961,1912071.71096042,2552968.45963524,667067.390178275,1389302.87595549,231083.704790119,1092983.27265615,12010.1267922777,1700653.38946127,7023.37613979452,786630.686628013,420447.973187274,1424552.88419398,1441483.46428635,2460778.13598376,345497.278727451,2413934.48904799,469738.084525665,595242.119308976,4777614.32439848,514696.297401057,3097770.60008698,1872296.36831621,1755.03547925378,3750409.29992367,4691617.11159435,1468621.80780094,7021083.99038004,469386.804472821,4466359.76149496,983400.868438138,3700770.62938471,2319866.39614113,3193269305.23814,8150848.14917982,8484.39978950388,150831374.800858,1471380.50880636,364210.685561041,100689547.495052,176886.514580903,374043375.481591,63339183.246171,469606.621397563,N
NPDAC30,944612.935035939,6593.33628588646,430341.868477723,173181.923496809,183942.841871932,1382154.77265363,274727.506383294,331176.482796165,406.788430412727,2576692.6152112,18882.922063834,1017718.95253327,408446.275186421,662116.383786167,953826.283632783,1585608.57555154,244419.160623462,2761202.1096554,742776.185388377,621485.835829298,1583647.49278793,316956.695051788,1103160.13127691,714730.989083516,30.2430361178162,1364269.32644908,2708545.36474181,1069367.67459772,3516901.64545836,352404.75932924,1847156.36470734,579500.834787186,1076291.57758478,2122440.45175227,48246611.0581923,1319792.70826132,957.341146560092,9288944.94833562,968367.636162513,598226.402126941,68167683.5463844,28448.1945561504,13639533.314038,3897293.49769412,36342.573414717,N
TPDAC02,1941245.87755869,1944.20053226715,204196.551657325,702430.065827156,159626.756943807,1209904.91789143,215998.334557189,143813.25255574,854.065276254195,760592.10465235,1713.07047664445,484375.451416769,228037.133162575,851644.784744298,847086.571937908,1172262.64122247,128692.606179522,1580675.40374956,448721.081443723,534946.325509324,2022873.92214214,544796.161044282,326025.29954817,1055759.82093886,104.514048121484,2679679.43546858,1948306.25154415,680488.999085101,4215770.79699091,106913.092087879,1335937.49680541,210479.482051811,2829430.42230029,1370232.83486169,209618713.3682,5007749.1678825,11492.8835179654,6405607.85619189,505015.08008788,174196.21859439,1563742.43457989,2818.63377526065,103886760.094882,5254620.76778198,49816.9973949701,T
