pred,obs,N,S,rowIndex,C,M,Resample
N,N,0.516304347826087,0.483695652173913,96,0.01,1,Fold07.Rep1
N,N,0.516304347826087,0.483695652173913,97,0.01,1,Fold07.Rep1
N,S,0.516304347826087,0.483695652173913,111,0.01,1,Fold07.Rep1
N,S,0.516304347826087,0.483695652173913,115,0.01,1,Fold07.Rep1
N,S,0.516304347826087,0.483695652173913,133,0.01,1,Fold07.Rep1
N,S,0.516304347826087,0.483695652173913,154,0.01,1,Fold07.Rep1
N,S,0.516304347826087,0.483695652173913,162,0.01,1,Fold07.Rep1
N,S,0.516304347826087,0.483695652173913,167,0.01,1,Fold07.Rep1
N,S,0.516304347826087,0.483695652173913,174,0.01,1,Fold07.Rep1
N,S,0.516304347826087,0.483695652173913,184,0.01,1,Fold07.Rep1
N,S,0.516304347826087,0.483695652173913,187,0.01,1,Fold07.Rep1
N,S,0.516304347826087,0.483695652173913,205,0.01,1,Fold07.Rep1
N,N,0.518918918918919,0.481081081081081,1,0.01,1,Fold08.Rep1
N,N,0.518918918918919,0.481081081081081,2,0.01,1,Fold08.Rep1
N,N,0.518918918918919,0.481081081081081,9,0.01,1,Fold08.Rep1
N,N,0.518918918918919,0.481081081081081,16,0.01,1,Fold08.Rep1
N,N,0.518918918918919,0.481081081081081,30,0.01,1,Fold08.Rep1
N,N,0.518918918918919,0.481081081081081,42,0.01,1,Fold08.Rep1
N,N,0.518918918918919,0.481081081081081,45,0.01,1,Fold08.Rep1
N,N,0.518918918918919,0.481081081081081,49,0.01,1,Fold08.Rep1
N,N,0.518918918918919,0.481081081081081,70,0.01,1,Fold08.Rep1
N,N,0.518918918918919,0.481081081081081,105,0.01,1,Fold08.Rep1
N,S,0.518918918918919,0.481081081081081,108,0.01,1,Fold08.Rep1
N,S,0.518918918918919,0.481081081081081,121,0.01,1,Fold08.Rep1
N,S,0.518918918918919,0.481081081081081,123,0.01,1,Fold08.Rep1
N,S,0.518918918918919,0.481081081081081,126,0.01,1,Fold08.Rep1
N,S,0.518918918918919,0.481081081081081,131,0.01,1,Fold08.Rep1
N,S,0.518918918918919,0.481081081081081,143,0.01,1,Fold08.Rep1
N,S,0.518918918918919,0.481081081081081,147,0.01,1,Fold08.Rep1
N,S,0.518918918918919,0.481081081081081,164,0.01,1,Fold08.Rep1
N,S,0.518918918918919,0.481081081081081,165,0.01,1,Fold08.Rep1
N,S,0.518918918918919,0.481081081081081,193,0.01,1,Fold08.Rep1
S,N,0.458646616541353,0.541353383458647,18,0.01,1,Fold09.Rep1
S,N,0.458646616541353,0.541353383458647,27,0.01,1,Fold09.Rep1
S,N,0.458646616541353,0.541353383458647,28,0.01,1,Fold09.Rep1
S,N,0.458646616541353,0.541353383458647,39,0.01,1,Fold09.Rep1
S,N,0.458646616541353,0.541353383458647,58,0.01,1,Fold09.Rep1
S,N,0.458646616541353,0.541353383458647,59,0.01,1,Fold09.Rep1
S,N,0.458646616541353,0.541353383458647,62,0.01,1,Fold09.Rep1
S,N,0.458646616541353,0.541353383458647,78,0.01,1,Fold09.Rep1
S,N,0.458646616541353,0.541353383458647,82,0.01,1,Fold09.Rep1
N,N,0.666666666666667,0.333333333333333,83,0.01,1,Fold09.Rep1
S,N,0.458646616541353,0.541353383458647,100,0.01,1,Fold09.Rep1
S,S,0.458646616541353,0.541353383458647,110,0.01,1,Fold09.Rep1
S,S,0.458646616541353,0.541353383458647,116,0.01,1,Fold09.Rep1
S,S,0.458646616541353,0.541353383458647,134,0.01,1,Fold09.Rep1
N,S,0.666666666666667,0.333333333333333,142,0.01,1,Fold09.Rep1
S,S,0.458646616541353,0.541353383458647,155,0.01,1,Fold09.Rep1
S,S,0.458646616541353,0.541353383458647,156,0.01,1,Fold09.Rep1
N,S,0.666666666666667,0.333333333333333,166,0.01,1,Fold09.Rep1
N,S,0.666666666666667,0.333333333333333,190,0.01,1,Fold09.Rep1
N,S,0.666666666666667,0.333333333333333,196,0.01,1,Fold09.Rep1
S,S,0.458646616541353,0.541353383458647,204,0.01,1,Fold09.Rep1
N,N,0.518918918918919,0.481081081081081,7,0.01,1,Fold10.Rep1
N,N,0.518918918918919,0.481081081081081,17,0.01,1,Fold10.Rep1
N,N,0.518918918918919,0.481081081081081,25,0.01,1,Fold10.Rep1
N,N,0.518918918918919,0.481081081081081,29,0.01,1,Fold10.Rep1
N,N,0.518918918918919,0.481081081081081,46,0.01,1,Fold10.Rep1
N,N,0.518918918918919,0.481081081081081,56,0.01,1,Fold10.Rep1
N,N,0.518918918918919,0.481081081081081,66,0.01,1,Fold10.Rep1
N,N,0.518918918918919,0.481081081081081,71,0.01,1,Fold10.Rep1
N,N,0.518918918918919,0.481081081081081,81,0.01,1,Fold10.Rep1
N,N,0.518918918918919,0.481081081081081,91,0.01,1,Fold10.Rep1
N,S,0.518918918918919,0.481081081081081,107,0.01,1,Fold10.Rep1
N,S,0.518918918918919,0.481081081081081,109,0.01,1,Fold10.Rep1
N,S,0.518918918918919,0.481081081081081,120,0.01,1,Fold10.Rep1
N,S,0.518918918918919,0.481081081081081,125,0.01,1,Fold10.Rep1
N,S,0.518918918918919,0.481081081081081,146,0.01,1,Fold10.Rep1
N,S,0.518918918918919,0.481081081081081,176,0.01,1,Fold10.Rep1
N,S,0.518918918918919,0.481081081081081,192,0.01,1,Fold10.Rep1
N,S,0.518918918918919,0.481081081081081,197,0.01,1,Fold10.Rep1
N,S,0.518918918918919,0.481081081081081,201,0.01,1,Fold10.Rep1
N,S,0.518918918918919,0.481081081081081,202,0.01,1,Fold10.Rep1
N,N,0.516304347826087,0.483695652173913,2,0.01,1,Fold01.Rep2
N,N,0.516304347826087,0.483695652173913,8,0.01,1,Fold01.Rep2
N,N,0.516304347826087,0.483695652173913,27,0.01,1,Fold01.Rep2
N,N,0.516304347826087,0.483695652173913,33,0.01,1,Fold01.Rep2
N,N,0.516304347826087,0.483695652173913,44,0.01,1,Fold01.Rep2
N,N,0.516304347826087,0.483695652173913,49,0.01,1,Fold01.Rep2
N,N,0.516304347826087,0.483695652173913,54,0.01,1,Fold01.Rep2
N,N,0.516304347826087,0.483695652173913,59,0.01,1,Fold01.Rep2
N,N,0.516304347826087,0.483695652173913,78,0.01,1,Fold01.Rep2
N,N,0.516304347826087,0.483695652173913,91,0.01,1,Fold01.Rep2
N,N,0.516304347826087,0.483695652173913,97,0.01,1,Fold01.Rep2
N,S,0.516304347826087,0.483695652173913,112,0.01,1,Fold01.Rep2
N,S,0.516304347826087,0.483695652173913,120,0.01,1,Fold01.Rep2
N,S,0.516304347826087,0.483695652173913,121,0.01,1,Fold01.Rep2
N,S,0.516304347826087,0.483695652173913,129,0.01,1,Fold01.Rep2
N,S,0.516304347826087,0.483695652173913,140,0.01,1,Fold01.Rep2
N,S,0.516304347826087,0.483695652173913,152,0.01,1,Fold01.Rep2
N,S,0.516304347826087,0.483695652173913,181,0.01,1,Fold01.Rep2
N,S,0.516304347826087,0.483695652173913,182,0.01,1,Fold01.Rep2
N,S,0.516304347826087,0.483695652173913,184,0.01,1,Fold01.Rep2
N,S,0.516304347826087,0.483695652173913,194,0.01,1,Fold01.Rep2
N,N,0.518918918918919,0.481081081081081,3,0.01,1,Fold02.Rep2
N,N,0.518918918918919,0.481081081081081,4,0.01,1,Fold02.Rep2
N,N,0.518918918918919,0.481081081081081,12,0.01,1,Fold02.Rep2
N,N,0.518918918918919,0.481081081081081,18,0.01,1,Fold02.Rep2
N,N,0.518918918918919,0.481081081081081,36,0.01,1,Fold02.Rep2
N,N,0.518918918918919,0.481081081081081,38,0.01,1,Fold02.Rep2
N,N,0.518918918918919,0.481081081081081,51,0.01,1,Fold02.Rep2
N,N,0.518918918918919,0.481081081081081,70,0.01,1,Fold02.Rep2
N,N,0.518918918918919,0.481081081081081,71,0.01,1,Fold02.Rep2
N,N,0.518918918918919,0.481081081081081,99,0.01,1,Fold02.Rep2
N,S,0.518918918918919,0.481081081081081,113,0.01,1,Fold02.Rep2
N,S,0.518918918918919,0.481081081081081,115,0.01,1,Fold02.Rep2
N,S,0.518918918918919,0.481081081081081,118,0.01,1,Fold02.Rep2
N,S,0.518918918918919,0.481081081081081,130,0.01,1,Fold02.Rep2
N,S,0.518918918918919,0.481081081081081,134,0.01,1,Fold02.Rep2
N,S,0.518918918918919,0.481081081081081,136,0.01,1,Fold02.Rep2
N,S,0.518918918918919,0.481081081081081,145,0.01,1,Fold02.Rep2
N,S,0.518918918918919,0.481081081081081,172,0.01,1,Fold02.Rep2
N,S,0.518918918918919,0.481081081081081,177,0.01,1,Fold02.Rep2
N,S,0.518918918918919,0.481081081081081,183,0.01,1,Fold02.Rep2
N,N,0.518918918918919,0.481081081081081,5,0.01,1,Fold03.Rep2
N,N,0.518918918918919,0.481081081081081,19,0.01,1,Fold03.Rep2
N,N,0.518918918918919,0.481081081081081,20,0.01,1,Fold03.Rep2
N,N,0.518918918918919,0.481081081081081,21,0.01,1,Fold03.Rep2
N,N,0.518918918918919,0.481081081081081,43,0.01,1,Fold03.Rep2
N,N,0.518918918918919,0.481081081081081,46,0.01,1,Fold03.Rep2
N,N,0.518918918918919,0.481081081081081,52,0.01,1,Fold03.Rep2
N,N,0.518918918918919,0.481081081081081,61,0.01,1,Fold03.Rep2
N,N,0.518918918918919,0.481081081081081,68,0.01,1,Fold03.Rep2
N,N,0.518918918918919,0.481081081081081,86,0.01,1,Fold03.Rep2
N,S,0.518918918918919,0.481081081081081,109,0.01,1,Fold03.Rep2
N,S,0.518918918918919,0.481081081081081,122,0.01,1,Fold03.Rep2
N,S,0.518918918918919,0.481081081081081,139,0.01,1,Fold03.Rep2
N,S,0.518918918918919,0.481081081081081,143,0.01,1,Fold03.Rep2
N,S,0.518918918918919,0.481081081081081,154,0.01,1,Fold03.Rep2
N,S,0.518918918918919,0.481081081081081,159,0.01,1,Fold03.Rep2
N,S,0.518918918918919,0.481081081081081,167,0.01,1,Fold03.Rep2
N,S,0.518918918918919,0.481081081081081,173,0.01,1,Fold03.Rep2
N,S,0.518918918918919,0.481081081081081,176,0.01,1,Fold03.Rep2
N,S,0.518918918918919,0.481081081081081,193,0.01,1,Fold03.Rep2
S,N,0.45,0.55,7,0.01,1,Fold04.Rep2
S,N,0.45,0.55,15,0.01,1,Fold04.Rep2
S,N,0.45,0.55,30,0.01,1,Fold04.Rep2
N,N,0.640625,0.359375,41,0.01,1,Fold04.Rep2
N,N,0.640625,0.359375,42,0.01,1,Fold04.Rep2
S,N,0.45,0.55,50,0.01,1,Fold04.Rep2
S,N,0.45,0.55,58,0.01,1,Fold04.Rep2
S,N,0.45,0.55,66,0.01,1,Fold04.Rep2
S,N,0.45,0.55,67,0.01,1,Fold04.Rep2
N,N,0.640625,0.359375,76,0.01,1,Fold04.Rep2
